"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"15-19 years"	"15-19"	36229
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"20-24 years"	"20-24"	93526
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"25-29 years"	"25-29"	100294
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"30-34 years"	"30-34"	69844
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"35-39 years"	"35-39"	33471
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"40-44 years"	"40-44"	6748
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"45-49 years"	"45-49"	397
	"Division 8: Mountain"	"CENS-D8"	"2006"	"2006"	"50 years and over"	"50+"	28
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"Under 15 years"	"15"	882
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"15-19 years"	"15-19"	62745
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"20-24 years"	"20-24"	162773
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"25-29 years"	"25-29"	182724
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"30-34 years"	"30-34"	172105
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"35-39 years"	"35-39"	91002
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"40-44 years"	"40-44"	21893
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"45-49 years"	"45-49"	1370
	"Division 9: Pacific"	"CENS-D9"	"2003"	"2003"	"50 years and over"	"50+"	131
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"Under 15 years"	"15"	871
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"15-19 years"	"15-19"	63004
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"20-24 years"	"20-24"	163746
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"25-29 years"	"25-29"	184804
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"30-34 years"	"30-34"	171709
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"35-39 years"	"35-39"	93114
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"40-44 years"	"40-44"	22152
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"45-49 years"	"45-49"	1368
	"Division 9: Pacific"	"CENS-D9"	"2004"	"2004"	"50 years and over"	"50+"	119
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"Under 15 years"	"15"	921
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"15-19 years"	"15-19"	63299
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"20-24 years"	"20-24"	164615
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"25-29 years"	"25-29"	187852
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"30-34 years"	"30-34"	170226
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"35-39 years"	"35-39"	95085
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"40-44 years"	"40-44"	22196
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"45-49 years"	"45-49"	1558
	"Division 9: Pacific"	"CENS-D9"	"2005"	"2005"	"50 years and over"	"50+"	138
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"Under 15 years"	"15"	832
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"15-19 years"	"15-19"	66915
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"20-24 years"	"20-24"	170007
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"25-29 years"	"25-29"	195808
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"30-34 years"	"30-34"	171383
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"35-39 years"	"35-39"	98262
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"40-44 years"	"40-44"	23034
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"45-49 years"	"45-49"	1597
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"50 years and over"	"50+"	145
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"Title: births_by_div_by_year_by_age_2003_2006"
"Group By: Census Division; Year; Age of Mother 9"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 12, 2025 9:16:14 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2003-2006, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-v2006.html on Mar 12, 2025 9:16:14 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/natality.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
