"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"20-24 years"	"20-24"	100795
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"25-29 years"	"25-29"	132161
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"30-34 years"	"30-34"	137272
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"35-39 years"	"35-39"	78683
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"40-44 years"	"40-44"	17991
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"45-49 years"	"45-49"	1101
	"Division 2: Middle Atlantic"	"CENS-D2"	"2005"	"2005"	"50 years and over"	"50+"	71
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"Under 15 years"	"15"	530
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"15-19 years"	"15-19"	38200
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"20-24 years"	"20-24"	104400
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"25-29 years"	"25-29"	136025
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"30-34 years"	"30-34"	135799
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"35-39 years"	"35-39"	80162
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"40-44 years"	"40-44"	17846
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"45-49 years"	"45-49"	1134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"	"50 years and over"	"50+"	118
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"Under 15 years"	"15"	892
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"15-19 years"	"15-19"	60799
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"20-24 years"	"20-24"	154955
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"25-29 years"	"25-29"	170839
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"30-34 years"	"30-34"	150599
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"35-39 years"	"35-39"	67675
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"40-44 years"	"40-44"	13292
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"45-49 years"	"45-49"	670
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"50 years and over"	"50+"	21
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"Under 15 years"	"15"	959
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"15-19 years"	"15-19"	60526
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"20-24 years"	"20-24"	152968
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"25-29 years"	"25-29"	172404
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"30-34 years"	"30-34"	147830
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"35-39 years"	"35-39"	67547
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"40-44 years"	"40-44"	13792
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"45-49 years"	"45-49"	732
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"50 years and over"	"50+"	38
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"Under 15 years"	"15"	947
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"15-19 years"	"15-19"	59859
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"20-24 years"	"20-24"	151310
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"25-29 years"	"25-29"	175679
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"30-34 years"	"30-34"	143319
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"35-39 years"	"35-39"	67718
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"40-44 years"	"40-44"	13711
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"45-49 years"	"45-49"	707
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"50 years and over"	"50+"	41
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"Under 15 years"	"15"	891
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"15-19 years"	"15-19"	61510
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"20-24 years"	"20-24"	154606
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"25-29 years"	"25-29"	179718
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"30-34 years"	"30-34"	140174
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"35-39 years"	"35-39"	68558
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"40-44 years"	"40-44"	13349
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"45-49 years"	"45-49"	774
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"50 years and over"	"50+"	39
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"Under 15 years"	"15"	298
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"15-19 years"	"15-19"	24921
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"20-24 years"	"20-24"	70286
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"25-29 years"	"25-29"	78569
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"30-34 years"	"30-34"	63227
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"35-39 years"	"35-39"	26646
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"40-44 years"	"40-44"	5420
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"45-49 years"	"45-49"	275
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"50 years and over"	"50+"	19
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"Under 15 years"	"15"	332
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"15-19 years"	"15-19"	24929
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"20-24 years"	"20-24"	70788
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"25-29 years"	"25-29"	80644
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"30-34 years"	"30-34"	62572
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"35-39 years"	"35-39"	27299
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"40-44 years"	"40-44"	5466
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"45-49 years"	"45-49"	304
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"50 years and over"	"50+"	21
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"Under 15 years"	"15"	288
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"15-19 years"	"15-19"	24666
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"20-24 years"	"20-24"	71890
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"25-29 years"	"25-29"	83281
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"30-34 years"	"30-34"	61068
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"35-39 years"	"35-39"	27692
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"40-44 years"	"40-44"	5536
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"45-49 years"	"45-49"	296
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"50 years and over"	"50+"	16
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"Under 15 years"	"15"	301
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"15-19 years"	"15-19"	25745
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"20-24 years"	"20-24"	73984
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"25-29 years"	"25-29"	88008
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"30-34 years"	"30-34"	61538
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"35-39 years"	"35-39"	28283
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"40-44 years"	"40-44"	5512
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"45-49 years"	"45-49"	359
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"50 years and over"	"50+"	22
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"Under 15 years"	"15"	1402
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"15-19 years"	"15-19"	78748
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"20-24 years"	"20-24"	190592
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"25-29 years"	"25-29"	190918
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"30-34 years"	"30-34"	174602
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"35-39 years"	"35-39"	83394
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"40-44 years"	"40-44"	17735
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"45-49 years"	"45-49"	839
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"50 years and over"	"50+"	38
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"Under 15 years"	"15"	1476
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"15-19 years"	"15-19"	80171
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"20-24 years"	"20-24"	194314
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"25-29 years"	"25-29"	196983
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"30-34 years"	"30-34"	173781
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"35-39 years"	"35-39"	85651
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"40-44 years"	"40-44"	18717
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"45-49 years"	"45-49"	933
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"50 years and over"	"50+"	56
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"Under 15 years"	"15"	1453
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"15-19 years"	"15-19"	81676
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"20-24 years"	"20-24"	198933
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"25-29 years"	"25-29"	204818
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"30-34 years"	"30-34"	173558
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"35-39 years"	"35-39"	88540
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"40-44 years"	"40-44"	19119
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"45-49 years"	"45-49"	1087
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"50 years and over"	"50+"	48
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"Under 15 years"	"15"	1379
