"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2006"	"2006"			514214
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					2046328
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"0 -  8 years"	"19176"	28310
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"9 - 11 years"	"19177"	86320
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"12 years"	"19178"	185949
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"13 - 15 years"	"19179"	139406
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"16 years and over"	"16+"	171646
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	8111
	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2003"	"2003"			619742
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"0 -  8 years"	"19176"	27531
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"9 - 11 years"	"19177"	85280
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"12 years"	"19178"	181138
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"13 - 15 years"	"19179"	137290
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"16 years and over"	"16+"	174044
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	11513
	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2004"	"2004"			616796
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"0 -  8 years"	"19176"	27851
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"9 - 11 years"	"19177"	84474
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"12 years"	"19178"	178527
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"13 - 15 years"	"19179"	136752
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"16 years and over"	"16+"	175797
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	9890
	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2005"	"2005"			613291
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"0 -  8 years"	"19176"	22917
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"9 - 11 years"	"19177"	64881
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"12 years"	"19178"	133602
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"13 - 15 years"	"19179"	105579
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"16 years and over"	"16+"	134304
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	7743
	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"	"Excluded"	"999"	150593
"Total"	"Division 3: East North Central"	"CENS-D3"	"2006"	"2006"			619619
"Total"	"Division 3: East North Central"	"CENS-D3"					2469448
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"0 -  8 years"	"19176"	8754
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"9 - 11 years"	"19177"	32415
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"12 years"	"19178"	75483
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"13 - 15 years"	"19179"	68061
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"16 years and over"	"16+"	82806
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	2142
	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2003"	"2003"			269661
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"0 -  8 years"	"19176"	9121
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"9 - 11 years"	"19177"	32501
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"12 years"	"19178"	75373
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"13 - 15 years"	"19179"	68082
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"16 years and over"	"16+"	84690
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	2588
	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2004"	"2004"			272355
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"0 -  8 years"	"19176"	6491
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"9 - 11 years"	"19177"	23681
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"12 years"	"19178"	57696
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"13 - 15 years"	"19179"	51813
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"16 years and over"	"16+"	63248
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	5771
	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"	"Excluded"	"999"	66033
"Total"	"Division 4: West North Central"	"CENS-D4"	"2005"	"2005"			274733
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"0 -  8 years"	"19176"	6512
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"9 - 11 years"	"19177"	22673
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"12 years"	"19178"	52863
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"13 - 15 years"	"19179"	47577
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"16 years and over"	"16+"	58167
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	7725
	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"	"Excluded"	"999"	88235
"Total"	"Division 4: West North Central"	"CENS-D4"	"2006"	"2006"			283752
"Total"	"Division 4: West North Central"	"CENS-D4"					1100501
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"0 -  8 years"	"19176"	37944
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"9 - 11 years"	"19177"	106158
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"12 years"	"19178"	231273
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"13 - 15 years"	"19179"	154239
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"16 years and over"	"16+"	199139
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	9515
	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2003"	"2003"			738268
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"0 -  8 years"	"19176"	26839
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"9 - 11 years"	"19177"	66551
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"12 years"	"19178"	139362
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"13 - 15 years"	"19179"	96908
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"16 years and over"	"16+"	137580
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	10199
	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"	"Excluded"	"999"	274643
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2004"	"2004"			752082
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"0 -  8 years"	"19176"	28353
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"9 - 11 years"	"19177"	67325
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"12 years"	"19178"	142458
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"13 - 15 years"	"19179"	97759
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"16 years and over"	"16+"	137730
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"Not stated/Not on certificate"	"NR"	11656
	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"	"Excluded"	"999"	283951
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2005"	"2005"			769232
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"0 -  8 years"	"19176"	29280
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"9 - 11 years"	"19177"	68909
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"12 years"	"19178"	144744
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"13 - 15 years"	"19179"	99027
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"16 years and over"	"16+"	136042
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	13255
	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"	"Excluded"	"999"	310962
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"2006"	"2006"			802219
"Total"	"Division 5: South Atlantic"	"CENS-D5"					3061801
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"0 -  8 years"	"19176"	9519
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"9 - 11 years"	"19177"	41850
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"12 years"	"19178"	79123
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"13 - 15 years"	"19179"	53365
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"16 years and over"	"16+"	51412
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"Not stated/Not on certificate"	"NR"	789
	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"	"Excluded"	"999"	0
"Total"	"Division 6: East South Central"	"CENS-D6"	"2003"	"2003"			236058
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"0 -  8 years"	"19176"	4379
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"9 - 11 years"	"19177"	19023
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"12 years"	"19178"	30974
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"13 - 15 years"	"19179"	25099
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"16 years and over"	"16+"	20634
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"Not stated/Not on certificate"	"NR"	2228
	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"	"Excluded"	"999"	135362
"Total"	"Division 6: East South Central"	"CENS-D6"	"2004"	"2004"			237699
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"0 -  8 years"	"19176"	4672
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"9 - 11 years"	"19177"	18435
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"12 years"	"19178"	31348
	"Division 6: East South Central"	"CENS-D6"	"2005"	"2005"	"13 - 15 years"	"19179"	25062
