"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"0 -  8 years"	"19176"	3377
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"9 - 11 years"	"19177"	9491
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"12 years"	"19178"	26441
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"13 - 15 years"	"19179"	17984
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"16 years and over"	"16+"	19080
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"Not stated/Not on certificate"	"NR"	2294
	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"	"Excluded"	"999"	649316
"Total"	"Division 9: Pacific"	"CENS-D9"	"2006"	"2006"			727983
"Total"	"Division 9: Pacific"	"CENS-D9"					2830385
"Total"							16605906
"---"
"Dataset: Natality, 2003-2006"
"Query Parameters:"
"Title: births_by_div_by_year_by_education_2003_2006"
"Group By: Census Division; Year; Mother's Education"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/natality.html for more information."
"---"
"Query Date: Mar 12, 2025 7:55:50 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2003-2006, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-v2006.html on Mar 12, 2025 7:55:50 PM"
"---"
Caveats:
"1. Each birth record represents one liveborn infant."
"2. <p> About Education and Prenatal Care data: Education and Prenatal Care data have been recoded to ""Excluded"" for births to"
"mothers residing in a reporting area that used the 2003 U.S. Standard Certificate of Live Birth in the specified data year. All"
"reporting areas collect information on Education and Prenatal care, but information from the 2003 revision of the birth"
"certificate is not comparable to the information based on the earlier certificate, which in years 2003 - 2006 was still used by"
"a majority of the reporting areas. The following reporting areas have Education and Prenatal Care data coded to ""Excluded"":"
"Pennsylvania and Washington state for births that occurred in 2003; Florida, Idaho, Kentucky, New Hampshire, New York (excluding"
"New York City), Pennsylvania, South Carolina, Tennessee, and Washington state for births that occurred in 2004; Florida, Idaho,"
"Kansas, Kentucky, Nebraska, New Hampshire, New York (excluding New York City), Pennsylvania, South Carolina, Tennessee, Texas,"
"Vermont, and Washington for births that occurred in 2005; California (education data only), Delaware, Florida, Idaho, Kansas,"
"Kentucky, Nebraska, New Hampshire, New York (excluding New York City), North Dakota, Ohio, Pennsylvania, South Carolina, South"
"Dakota, Tennessee, Texas, Vermont, Washington and Wyoming for births that occurred in 2006. </p><p> Education and Prenatal Care"
"data for births to mothers residing in a reporting area that used the 2003 U.S. Standard Certificate of Live Birth are available"
"online using the VitalStats data access tool at http://www.cdc.gov/nchs/VitalStats.htm. </p>"
