"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"30-34 years"	"30-34"	53641
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"35-39 years"	"35-39"	29207
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"40-44 years"	"40-44"	5929
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"45-49 years"	"45-49"	338
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"50 years and over"	"50+"	13
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"Under 15 years"	"15"	1157
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"15-19 years"	"15-19"	49956
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"20-24 years"	"20-24"	104656
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"25-29 years"	"25-29"	151096
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"30-34 years"	"30-34"	151281
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"35-39 years"	"35-39"	67477
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"40-44 years"	"40-44"	11932
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"45-49 years"	"45-49"	492
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"50 years and over"	"50+"	0
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"Under 15 years"	"15"	1083
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"15-19 years"	"15-19"	47845
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"20-24 years"	"20-24"	99246
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"25-29 years"	"25-29"	145893
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"30-34 years"	"30-34"	149492
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"35-39 years"	"35-39"	69967
