"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Mother's Education"	"Mother's Education Code"	Births
"Total"	"Division 1: New England"	"CENS-D1"	"1997"	"1997"			170517
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"0 -  8 years"	"19176"	4042
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"9 - 11 years"	"19177"	16970
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"12 years"	"19178"	48722
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"13 - 15 years"	"19179"	39952
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"16 years and over"	"16+"	60190
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"Not stated/Not on certificate"	"NR"	2698
	"Division 1: New England"	"CENS-D1"	"1998"	"1998"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"1998"	"1998"			172574
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"0 -  8 years"	"19176"	3964
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"9 - 11 years"	"19177"	16676
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"12 years"	"19178"	46639
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"13 - 15 years"	"19179"	38900
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"16 years and over"	"16+"	62048
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Not stated/Not on certificate"	"NR"	2612
	"Division 1: New England"	"CENS-D1"	"1999"	"1999"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"1999"	"1999"			170839
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"0 -  8 years"	"19176"	3944
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"9 - 11 years"	"19177"	16221
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"12 years"	"19178"	47402
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"13 - 15 years"	"19179"	38570
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"16 years and over"	"16+"	63777
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Not stated/Not on certificate"	"NR"	1943
	"Division 1: New England"	"CENS-D1"	"2000"	"2000"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2000"	"2000"			171857
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"0 -  8 years"	"19176"	3885
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"9 - 11 years"	"19177"	15897
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"12 years"	"19178"	46595
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"13 - 15 years"	"19179"	37814
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"16 years and over"	"16+"	65466
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Not stated/Not on certificate"	"NR"	1562
	"Division 1: New England"	"CENS-D1"	"2001"	"2001"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2001"	"2001"			171219
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"0 -  8 years"	"19176"	3998
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"9 - 11 years"	"19177"	16023
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"12 years"	"19178"	44041
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"13 - 15 years"	"19179"	37396
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"16 years and over"	"16+"	67295
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Not stated/Not on certificate"	"NR"	1175
	"Division 1: New England"	"CENS-D1"	"2002"	"2002"	"Excluded"	"999"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2002"	"2002"			169928
"Total"	"Division 1: New England"	"CENS-D1"					1373494
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"0 -  8 years"	"19176"	20916
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"9 - 11 years"	"19177"	69854
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"12 years"	"19178"	188348
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"13 - 15 years"	"19179"	110883
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"16 years and over"	"16+"	131925
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"Not stated/Not on certificate"	"NR"	16121
	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"1995"	"1995"			538047
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"0 -  8 years"	"19176"	21146
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"9 - 11 years"	"19177"	67725
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"12 years"	"19178"	178430
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"13 - 15 years"	"19179"	113622
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"16 years and over"	"16+"	134871
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"Not stated/Not on certificate"	"NR"	10813
	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"1996"	"1996"			526607
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"0 -  8 years"	"19176"	20267
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"9 - 11 years"	"19177"	65359
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"12 years"	"19178"	169537
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"13 - 15 years"	"19179"	113340
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"16 years and over"	"16+"	137037
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"Not stated/Not on certificate"	"NR"	9201
	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"1997"	"1997"			514741
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"0 -  8 years"	"19176"	20347
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"9 - 11 years"	"19177"	65378
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"12 years"	"19178"	166625
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"13 - 15 years"	"19179"	113803
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"16 years and over"	"16+"	142108
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"Not stated/Not on certificate"	"NR"	10395
	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"1998"	"1998"			518656
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"0 -  8 years"	"19176"	20680
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"9 - 11 years"	"19177"	63861
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"12 years"	"19178"	162133
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"13 - 15 years"	"19179"	112552
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"16 years and over"	"16+"	144028
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"Not stated/Not on certificate"	"NR"	11810
	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"1999"	"1999"			515064
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"0 -  8 years"	"19176"	22081
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"9 - 11 years"	"19177"	63127
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"12 years"	"19178"	159751
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"13 - 15 years"	"19179"	112732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"16 years and over"	"16+"	150959
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"Not stated/Not on certificate"	"NR"	12000
	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2000"	"2000"			520650
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"0 -  8 years"	"19176"	22628
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"9 - 11 years"	"19177"	62037
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"12 years"	"19178"	156581
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"13 - 15 years"	"19179"	109991
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"16 years and over"	"16+"	152249
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"Not stated/Not on certificate"	"NR"	9830
	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2001"	"2001"			513316
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"0 -  8 years"	"19176"	23109
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"9 - 11 years"	"19177"	61601
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"12 years"	"19178"	153377
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"13 - 15 years"	"19179"	107483
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"16 years and over"	"16+"	155807
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"Not stated/Not on certificate"	"NR"	7639
	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"	"Excluded"	"999"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2002"	"2002"			509016
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					4156097
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"0 -  8 years"	"19176"	25174
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"9 - 11 years"	"19177"	96134
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"12 years"	"19178"	216476
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"13 - 15 years"	"19179"	145901
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"16 years and over"	"16+"	137004
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"Not stated/Not on certificate"	"NR"	4143
	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"1995"	"1995"			624832
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"0 -  8 years"	"19176"	24628
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"9 - 11 years"	"19177"	93647
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"12 years"	"19178"	210782
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"13 - 15 years"	"19179"	144210
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"16 years and over"	"16+"	141084
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"Not stated/Not on certificate"	"NR"	4527
	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"1996"	"1996"			618878
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"0 -  8 years"	"19176"	24280
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"9 - 11 years"	"19177"	92934
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"12 years"	"19178"	205980
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"13 - 15 years"	"19179"	143628
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"16 years and over"	"16+"	145259
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"Not stated/Not on certificate"	"NR"	4462
	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"1997"	"1997"			616543
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"0 -  8 years"	"19176"	24733
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"9 - 11 years"	"19177"	93301
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"12 years"	"19178"	204628
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"13 - 15 years"	"19179"	143887
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"16 years and over"	"16+"	150061
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"Not stated/Not on certificate"	"NR"	5010
	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"1998"	"1998"			621620
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"0 -  8 years"	"19176"	25410
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"9 - 11 years"	"19177"	91739
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"12 years"	"19178"	201432
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"13 - 15 years"	"19179"	142601
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"16 years and over"	"16+"	155263
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"Not stated/Not on certificate"	"NR"	6053
	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"1999"	"1999"			622498
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"0 -  8 years"	"19176"	27448
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"9 - 11 years"	"19177"	92406
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"12 years"	"19178"	202450
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"13 - 15 years"	"19179"	142928
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"16 years and over"	"16+"	161590
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"Not stated/Not on certificate"	"NR"	6882
	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2000"	"2000"			633704
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"0 -  8 years"	"19176"	28206
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"9 - 11 years"	"19177"	89260
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"12 years"	"19178"	197787
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"13 - 15 years"	"19179"	140385
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"16 years and over"	"16+"	162015
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"Not stated/Not on certificate"	"NR"	6939
	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2001"	"2001"			624592
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"0 -  8 years"	"19176"	27813
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"9 - 11 years"	"19177"	86192
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"12 years"	"19178"	188989
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"13 - 15 years"	"19179"	137749
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"16 years and over"	"16+"	165531
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"Not stated/Not on certificate"	"NR"	6676
	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"	"Excluded"	"999"	0
"Total"	"Division 3: East North Central"	"CENS-D3"	"2002"	"2002"			612950
"Total"	"Division 3: East North Central"	"CENS-D3"					4975617
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"0 -  8 years"	"19176"	6495
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"9 - 11 years"	"19177"	30038
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"12 years"	"19178"	81968
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"13 - 15 years"	"19179"	66113
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"16 years and over"	"16+"	64682
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"Not stated/Not on certificate"	"NR"	3200
	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"1995"	"1995"			252496
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"0 -  8 years"	"19176"	6670
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"9 - 11 years"	"19177"	30758
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"12 years"	"19178"	79971
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"13 - 15 years"	"19179"	65385
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"16 years and over"	"16+"	67687
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"Not stated/Not on certificate"	"NR"	2957
	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"1996"	"1996"			253428
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"0 -  8 years"	"19176"	7069
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"9 - 11 years"	"19177"	30982
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"12 years"	"19178"	79958
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"13 - 15 years"	"19179"	64640
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"16 years and over"	"16+"	68991
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"Not stated/Not on certificate"	"NR"	2689
	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"1997"	"1997"			254329
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"0 -  8 years"	"19176"	7135
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"9 - 11 years"	"19177"	31948
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"12 years"	"19178"	79850
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"13 - 15 years"	"19179"	65096
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"16 years and over"	"16+"	71132
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"Not stated/Not on certificate"	"NR"	2857
	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"1998"	"1998"			258018
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"0 -  8 years"	"19176"	7544
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"9 - 11 years"	"19177"	32251
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"12 years"	"19178"	79078
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"13 - 15 years"	"19179"	64547
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"16 years and over"	"16+"	73645
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"Not stated/Not on certificate"	"NR"	2747
	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"1999"	"1999"			259812
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"0 -  8 years"	"19176"	8125
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"9 - 11 years"	"19177"	32800
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"12 years"	"19178"	79049
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"13 - 15 years"	"19179"	66728
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"16 years and over"	"16+"	75373
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"Not stated/Not on certificate"	"NR"	2591
	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2000"	"2000"			264666
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"0 -  8 years"	"19176"	8414
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"9 - 11 years"	"19177"	31963
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"12 years"	"19178"	76163
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"13 - 15 years"	"19179"	66754
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"16 years and over"	"16+"	76744
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"Not stated/Not on certificate"	"NR"	2408
	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2001"	"2001"			262446
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"0 -  8 years"	"19176"	8851
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"9 - 11 years"	"19177"	32335
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"12 years"	"19178"	75589
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"13 - 15 years"	"19179"	66646
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"16 years and over"	"16+"	78625
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"Not stated/Not on certificate"	"NR"	2039
	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"	"Excluded"	"999"	0
"Total"	"Division 4: West North Central"	"CENS-D4"	"2002"	"2002"			264085
"Total"	"Division 4: West North Central"	"CENS-D4"					2069280
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"0 -  8 years"	"19176"	27289
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"9 - 11 years"	"19177"	106038
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"12 years"	"19178"	230956
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"13 - 15 years"	"19179"	143528
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"16 years and over"	"16+"	143943
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"Not stated/Not on certificate"	"NR"	7185
	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"	"Excluded"	"999"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"1995"	"1995"			658939
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"0 -  8 years"	"19176"	27391
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"9 - 11 years"	"19177"	105044
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"12 years"	"19178"	227432
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"13 - 15 years"	"19179"	143792
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"16 years and over"	"16+"	150401
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"Not stated/Not on certificate"	"NR"	8144
	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"	"Excluded"	"999"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"1996"	"1996"			662204
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"0 -  8 years"	"19176"	27418
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"9 - 11 years"	"19177"	105800
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"12 years"	"19178"	225428
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"13 - 15 years"	"19179"	145593
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"16 years and over"	"16+"	157498
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"Not stated/Not on certificate"	"NR"	9083
	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"	"Excluded"	"999"	0
"Total"	"Division 5: South Atlantic"	"CENS-D5"	"1997"	"1997"			670820
	"Division 5: South Atlantic"	"CENS-D5"	"1998"	"1998"	"0 -  8 years"	"19176"	28071
	"Division 5: South Atlantic"	"CENS-D5"	"1998"	"1998"	"9 - 11 years"	"19177"	107981
	"Division 5: South Atlantic"	"CENS-D5"	"1998"	"1998"	"12 years"	"19178"	230691
	"Division 5: South Atlantic"	"CENS-D5"	"1998"	"1998"	"13 - 15 years"	"19179"	148880
