"Notes","Division","Division Code","Year","Year Code",Deaths,Population,Crude Rate
,"Division 4: West North Central","CENS-D4","1978","1978",21,17045881,0.001231969
,"Division 5: South Atlantic","CENS-D5","1968","1968",162,29619100,0.005469444
,"Division 5: South Atlantic","CENS-D5","1969","1969",133,30211705,0.004402267
,"Division 5: South Atlantic","CENS-D5","1970","1970",165,30737306,0.005368070
,"Division 5: South Atlantic","CENS-D5","1971","1971",133,31635972,0.004204075
,"Division 5: South Atlantic","CENS-D5","1972","1972",98,32360660,0.003028368
,"Division 5: South Atlantic","CENS-D5","1973","1973",91,33101814,0.002749094
,"Division 5: South Atlantic","CENS-D5","1974","1974",89,33824099,0.002631260
,"Division 5: South Atlantic","CENS-D5","1975","1975",80,34360140,0.002328279
,"Division 5: South Atlantic","CENS-D5","1976","1976",64,34818439,0.001838106
,"Division 5: South Atlantic","CENS-D5","1977","1977",75,35364879,0.002120748
,"Division 5: South Atlantic","CENS-D5","1978","1978",56,35903017,0.001559757
,"Division 6: East South Central","CENS-D6","1968","1968",90,12516124,0.007190724
,"Division 6: East South Central","CENS-D6","1969","1969",76,12682106,0.005992695
,"Division 6: East South Central","CENS-D6","1970","1970",77,12834978,0.005999231
,"Division 6: East South Central","CENS-D6","1971","1971",71,13093652,0.005422475
,"Division 6: East South Central","CENS-D6","1972","1972",82,13274982,0.006177033
,"Division 6: East South Central","CENS-D6","1973","1973",50,13437295,0.003720987
,"Division 6: East South Central","CENS-D6","1974","1974",61,13622525,0.004477878
,"Division 6: East South Central","CENS-D6","1975","1975",40,13806710,0.002897142
,"Division 6: East South Central","CENS-D6","1976","1976",33,14029600,0.002352170
,"Division 6: East South Central","CENS-D6","1977","1977",41,14236730,0.002879875
