State,Year,Maternal_Mortality_Rate,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
Arizona,2011,17.535040856645196,0.05094066769028899,0.12027390484434414,0.11369764669916152,0.03982921308175582,0.03510818451307523,0.10947228491050175,0.14843674323224204,0.1876488631952817,0.11992422446869536,0.0756645816373148,29.1,25.8,54.900000000000006,24.5,85543,0.005307272365944612,0.8356031469553324,0.09696877593724794,0.056404381422208716,0.0020808248483218965,0.44687467121798397,0.0,0.0,0.0,0.0,0.0,0.0063827548718188515,0.03999158318038881,0.6388132284348222,0.21130893234981238,0.003752498743322072
Arizona,2012,28.921460880832015,0.04990774001984013,0.1261175307505053,0.10887134726656532,0.04110715361879192,0.03607517580181541,0.10940306946414727,0.14875322063508722,0.1893440569337184,0.11918279664546098,0.07075578698609498,28.2,25.6,53.8,23.9,86441,0.005842135097928067,0.8249441815805,0.09863375018798949,0.06498073830705337,0.002302148286114228,0.45486516814937356,0.0,0.0,0.0,0.0,0.0,0.005552920489119747,0.04021239920870883,0.6411887877280458,0.21130019319535867,0.00313508635948219
Arizona,2013,26.869158878504674,0.048637544203127846,0.12415085957706791,0.10818847629361772,0.04426114194999133,0.039363033748716574,0.10790084757850471,0.1463770822559185,0.18669595943963593,0.1226298627650651,0.07193092330333159,26.8,27.1,53.900000000000006,27.0,85600,0.0053621495327102805,0.8228504672897197,0.09982476635514019,0.06504672897196262,0.0027453271028037383,0.45414719626168226,0.0,0.0,0.0,0.0,0.0,0.0051051401869158875,0.04007009345794393,0.6386331775700934,0.21106308411214952,0.003049065420560748
Arizona,2014,27.62208385604291,0.04894777789020803,0.12841909047854888,0.10080364660753577,0.04480560300501052,0.04494713175893569,0.10610088949738289,0.14414311841022368,0.18854030510532058,0.12321286608062539,0.0701444176741908,29.5,28.8,58.3,23.2,86887,0.005881202021015802,0.8204449457341144,0.10370941567783443,0.07195552844499177,0.0027391899823909216,0.4514369238205946,0.23555882928401256,0.09275265574827074,0.0259877772278937,0.01991091877956426,0.018725471014075755,0.005455361561568474,0.039591653526994834,0.6374026033814034,0.20624489279178704,0.003337668465938518
Arizona,2015,23.432648709446873,0.04267300353084879,0.13147172870132992,0.09847196128402756,0.05062802262927667,0.046791230546694346,0.10309154053633504,0.14192906786973658,0.1909244060176743,0.1262756272742196,0.06752382327794225,32.0,27.1,59.1,25.3,85351,0.0057644315825239306,0.8019003878103361,0.11735070473690994,0.07675364084779324,0.002765052547714731,0.4553197970732622,0.24387529144356832,0.09316821126876076,0.02704127661070169,0.020913638973181332,0.01977715551077316,0.004873990931564949,0.039706623238157726,0.6405900340945039,0.20364143360944803,0.0033508687654509027
Arizona,2016,29.578797917652626,0.04355237698380162,0.13680575467536887,0.0897147099564863,0.054733180698135146,0.053924809969499166,0.09672240809115239,0.13860814220906637,0.18886752523831934,0.13135462748919377,0.06585269072085713,28.9,27.8,56.7,25.4,84520,0.006885944155229531,0.7884406057737814,0.12787505915759584,0.07909370563180312,0.003667770941788926,0.45022479886417416,0.25092285849503077,0.09181258873639375,0.02736630383341221,0.02230241362991008,0.0229649787032655,0.0053478466635115945,0.03941079034548036,0.6423568386180786,0.20253194510175107,0.0027330809275911026
Arizona,2017,29.3140512018761,0.03821662609612541,0.15052827248702647,0.08848480988875655,0.05666505398369131,0.05978839951828621,0.08954778658469548,0.13667345641050987,0.18858077878330198,0.13221735037771318,0.060175886999398964,29.2,28.8,58.0,26.5,81872,0.007414012116474497,0.77937512214188,0.13460035176861443,0.08176177447723275,0.003090189564197772,0.44708813758061366,0.2543360367402775,0.0933530388899746,0.027139925737736954,0.02215653703341802,0.02271838968145398,0.005337600156341607,0.04081981629861247,0.6436022083251906,0.1995187609927692,0.002601622044166504
Arizona,2018,29.73130334601043,0.03233405385472769,0.15235475842149915,0.08689602286396908,0.0629231673416343,0.06448712805360704,0.08789079329312867,0.1304945161002405,0.19245564994704956,0.13529001372171692,0.05406365727765213,30.3,28.0,58.3,25.8,80723,0.008696406228708051,0.7808926823829639,0.13084251080856757,0.08454839389021716,0.0027253694733842893,0.44819939794110725,0.2642988987029719,0.09278644252567422,0.029483542484793675,0.024156683968633474,0.017504304844963643,0.005525067205133605,0.04204501814848308,0.6557486713823817,0.1909864598689345,0.002353728181559159
Arizona,2019,40.31496062992126,0.030862003083826275,0.1637529291737617,0.07472343624800834,0.06839111336652849,0.07352764836094045,0.08090409306338689,0.1313736605792071,0.18614023168465918,0.13775996629777387,0.05315782207529079,28.8,32.1,60.900000000000006,25.9,79375,0.00735748031496063,0.7592944881889764,0.13928818897637796,0.09664251968503937,0.004258267716535433,0.45143937007874013,0.2611275590551181,0.09312755905511812,0.031218897637795277,0.026733858267716536,0.024844094488188976,0.004963779527559055,0.04131023622047244,0.6659779527559055,0.18731338582677165,0.002015748031496063
Arkansas,2011,25.82978173834431,0.07270670674231242,0.09277855834385615,0.13617728137727425,0.027276575310793746,0.020605758799153433,0.12028384939619756,0.1535394027780248,0.1803350703398723,0.10737154747719067,0.08945061980898857,28.6,31.2,59.8,34.1,38715,0.000826553015627018,0.9419088208704637,0.03781480046493607,0.009014593826682165,0.00581170089112747,0.4486633087950407,0.0,0.0,0.0,0.0,0.0,0.007697274958026605,0.04644194756554307,0.6635929226398037,0.17881957897455766,0.0038744672607516468
Arkansas,2012,46.939786684747176,0.06964613276171065,0.0959134835014232,0.13391292124960466,0.025374073163017888,0.02323857047475138,0.12121868081667077,0.1498615454896862,0.18968654461116774,0.10699370980778015,0.08374143444495204,26.8,35.1,61.900000000000006,33.7,38347,0.0031553967715857827,0.9389782773098286,0.042089342060656634,0.006284715883902261,0.005319842490938013,0.45179544684069156,0.0,0.0,0.0,0.0,0.0,0.007901530758599108,0.04699194200328578,0.675985083578898,0.17211255117740631,0.0029989308159699586
Arkansas,2013,39.64897441319518,0.06392877994954176,0.09716158959553053,0.13097218725616758,0.02905616649436585,0.025003437088776878,0.12255140902784846,0.15584849669771653,0.18405583617674315,0.10811027966296889,0.08317076349793864,31.1,34.1,65.2,36.4,37832,0.0036477056460139565,0.9411873546204271,0.040838443645591034,0.005550856417847325,0.004784309579192218,0.45025375343624446,0.0,0.0,0.0,0.0,0.0,0.007559737788115881,0.044459716641996196,0.669618312539649,0.1751163036582787,0.0034891097483611758
Arkansas,2014,59.723195969982605,0.06704949336158433,0.10105571029054104,0.12598465560548844,0.02967672254213443,0.028154884973998828,0.11881546571433453,0.15825188387471592,0.18491981784939254,0.11050569861422005,0.07565116848646401,29.6,36.0,65.6,32.4,38511,0.0026226273012905405,0.9299161278595726,0.05099841603697645,0.004829788891485549,0.005297187816468022,0.43948482251824156,0.24868219469761887,0.10921554880423776,0.031938926540468954,0.01752745968684272,0.14367323621822337,0.006777284412245852,0.046090727324660484,0.6737036171483473,0.1823634805639947,0.002726493729064423
Arkansas,2015,41.14591369644602,0.06094913287376128,0.10454662015987383,0.12251567464375332,0.028528149811462265,0.03384839033432341,0.12188563692919056,0.15064391187470247,0.1846722628702568,0.11337802297953815,0.0789602834187474,32.0,33.9,65.9,37.9,38886,0.0022373090572442526,0.9280717996194003,0.05505837576505683,0.00498894203569408,0.004551766702669341,0.45008486344699894,0.26099367381576916,0.09944453016509798,0.03404824358380908,0.01872139073188294,0.136347271511598,0.00727768348505889,0.04862932674998714,0.6782132386977319,0.1709612714087332,0.002803065370570385
