State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
California,2015,84,15584046,1373602,5157870,2724273,2593736,3144618,2631969,3662726,5231525,4005584,1611575,32135007,19704260,5950686.52,4669909.62,10620596.14,3999964.7800000003,491748,1911,411164,25030.0,47642,4756,190990,108562,31674,7426,5431,7676,2493,18825,297611,113653,2116
California,2016,91,15564462,1291750,5297400,2586920,2741018,3576963,2471113,3572896,5198219,3993800,1568435,32295249,19758786,5828841.87,4979214.072,10808055.942000002,4406209.278,488827,1972,405221,26864.0,48898,4684,186851,108621,30173,7094,5812,7990,2405,19064,297339,111602,1881
California,2017,89,15622590,1234297,5562305,2395210,2927649,3936851,2360504,3425454,5115669,4023455,1475744,32457159,19886602,5886434.192000001,5130743.316000001,11017177.508000001,4196073.022000001,471658,1919,386654,27423.0,49512,4761,435,105285,28825,6519,5286,5642,2308,18172,287098,106574,1716
California,2018,81,15555212,1116031,5639060,2267689,3097860,4402563,2249840,3291471,5008513,4029671,1499951,32602667,19883492,6044581.568,5090173.9520000005,11134755.520000001,4473785.7,454920,1560,368707,27962.0,50535,4281,0,103387,27036,6154,4950,4494,2298,18019,278659,101541,1404
California,2019,70,15468016,1071901,5882065,2017064,3275611,4894332,2126859,3131890,4918444,4128858,1343251,32805932,19871429,6021042.987,5564000.12,11585043.106999999,4828757.2469999995,446479,1382,356285,32676.0,51329,2759,0,107547,26980,6046,4954,5415,2225,17426,277906,97216,1187
Florida,2011,50,7346733,989228,1885796,2115148,650108,659240,2068767,2609895,3264206,1972217,1306702,17505621,9736393,2959863.472,2492516.608,5452380.08,2843026.756,213414,1720,175296,11576.0,23008,1139,101545,58216,23225,4430,2950,9617,1665,9784,140112,41575,422
Florida,2012,64,7406212,970206,1976087,2103718,660267,722771,2058077,2668916,3257401,2008798,1289244,17715506,9876567,3081488.904,2360499.513,5441988.416999999,2577783.987,213148,1820,175539,11486.0,22453,1068,102161,59291,23608,4774,3336,7201,1616,9613,140284,41397,410
Florida,2013,83,7450570,931663,2003312,2017311,698138,781962,2012841,2674850,3312520,2032965,1299181,17757551,9876567,2962970.1,2498771.451,5461741.550999999,2962970.1,215407,1725,177686,11050.0,22416,1379,103386,60557,24234,4756,3370,7419,1578,9565,141088,42608,434
Florida,2014,62,7550538,884456,2156175,2014485,760907,822691,2008412,2680843,3379062,2065011,1265445,18036195,10171069,3000465.355,2705504.3540000003,5705969.709000001,2705504.3540000003,219991,1629,180951,11702.0,22968,1408,105422,55363,21079,4993,3548,9256,1664,9589,142589,44358,488
Florida,2015,68,7660309,850174,2227680,2006932,856648,916783,1976589,2672783,3449771,2219019,1210457,18371144,10380034,3321610.88,2688428.806,6010039.686,2792229.1459999997,224269,1598,183536,11786.0,24392,1523,107125,56778,20841,5215,3819,11040,1686,10024,145483,44421,531
Florida,2016,50,7739219,829507,2367247,1891925,893598,1019870,1956362,2703709,3504473,2288954,1180971,18660706,10541579,3173015.279,2804060.014,5977075.2930000005,3404930.0169999995,225022,1745,184999,12097.0,23389,1491,105537,56992,20879,5334,3806,13360,1623,10216,146847,43586,480
Florida,2017,48,7857243,794844,2509127,1844915,1009075,1144671,1882074,2720442,3510945,2392763,1162937,18968223,10730133,3304880.964,2929326.3090000004,6234207.273,3358531.629,223630,1711,182735,11761.0,24699,1347,105023,57135,20950,5563,4123,13603,1566,10127,145979,43019,456
Florida,2018,54,7936419,768734,2732336,1781126,1101870,1288122,1848899,2613045,3560313,2443617,1112810,19256774,10894649,3355551.892,3290183.9979999997,6645735.89,3203026.806,221542,1528,178674,12729.0,25780,1295,102751,60421,21678,5811,4651,11978,1623,10109,146251,41014,443
Florida,2019,69,7955411,695935,2914163,1607892,1205652,1465698,1764630,2561701,3636072,2597346,1035580,19481869,10979732,3568412.9,2986487.1040000003,6554900.004,2986487.1040000003,220002,120,173982,13338.0,28285,1453,102543,60880,21281,5974,4905,12425,1608,10347,146842,39571,368
Georgia,2011,48,4060540,476730,1035738,968016,361832,329303,909737,1239514,1616045,997778,721660,8656782,5006214,1421764.7759999998,1466820.7019999998,2888585.478,1486845.558,132409,206,107448,2525.0,20634,1669,60169,31213,12101,2725,1861,22705,1086,6227,86357,25007,289
Georgia,2012,40,4088762,468991,1063895,950663,391423,395522,912160,1206481,1615464,1042929,711653,8759202,5068892,1515598.7079999999,1546012.06,3061610.7679999997,1302705.244,130280,307,104801,3078.0,20062,2229,58848,32570,12363,2731,1869,17378,1061,6185,85172,24473,271
Georgia,2013,82,4104633,438661,1090059,934864,404140,393574,927969,1203972,1592566,1073735,706356,8766634,5068892,1510529.8159999999,1596700.98,3107230.796,1576425.412,128748,359,103783,2675.0,17958,3483,58447,30582,11166,2513,1898,19942,1113,5985,83734,24583,325
