State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,BirthCenterBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Unmarried,3rdMonthInitialCare,4thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,UnknownInitialCare,20-27Weeks,32-35Weeks,37-39Weeks,40Weeks,42PlusWeeks
New Jersey,2014,55,3560520,257326,1461732,573325,762370,933623,562252,804845,1247973,998595,394889,7997568,4574784,1377009.984,1157420.352,2534430.336,1207742.976,103305,527,84741,10873.0,7032,388,36646,0,0,0,0,0,12,955,8046,24096,18336
New Jersey,2015,39,3556365,248616,1457589,583406,768807,983381,571383,796091,1212298,995123,395038,8007987,4583121,1466598.72,1086199.677,2552798.3970000003,1347437.574,103127,626,83636,11567.0,6919,805,36215,0,0,0,0,0,18,858,7725,23275,16149
New Jersey,2016,43,3536519,256542,1467344,547774,818256,1082491,542763,763501,1180844,989792,366580,8012712,4574258,1363128.8839999998,1171010.048,2534138.932,1477485.3339999998,102647,202,82608,11260.0,7593,977,35504,34653,10002,2203,1506,1919,17,926,7830,22414,13970
New Jersey,2017,44,3543930,226658,1509794,509198,845738,1181743,525067,736658,1168024,1015263,372891,8091725,4608796,1387247.596,1161416.592,2548664.1879999996,1451770.74,101250,191,80608,11712.0,7928,895,34340,34349,10019,2156,1489,1514,11,886,7874,21987,13188
New Jersey,2018,35,3483990,220184,1504771,518514,899031,1277986,503245,716968,1160840,1002042,351164,8162928,4558134,1340091.396,1162324.17,2502415.5659999996,1403905.2719999999,101223,141,79650,12085.0,8538,806,34204,35028,9848,2221,1538,1641,22,816,7477,21847,12418
New York,2011,64,7909435,874314,2536519,1720531,1123763,1246611,1537699,2065283,2967797,2173420,1296057,17542598,10027190,3048265.76,2376444.03,5424709.789999999,2847721.96,241312,264,206007,9396.0,24425,1367,142474,78221,87617,7172,4908,6988,51,2011,4274,62970,10346
New York,2012,58,7908456,853028,2636363,1673769,1148607,1295960,1502449,2057422,3007105,2165268,1282618,17625756,10084389,3085823.034,2309325.081,5395148.115,2783291.364,240916,349,204901,10321.0,24109,1425,141425,78141,86606,6860,4798,7544,50,2055,4361,61540,9803
New York,2013,63,7903762,835504,2660422,1620576,1203221,1437902,1536842,2021998,2889181,2138055,1255571,17597180,10084389,2884135.254,2632025.529,5516160.783000001,2863966.476,236980,316,200038,11223.0,23978,1603,138441,79780,87217,6542,5015,6933,64,2060,4551,61724,9292
New York,2014,61,7915339,824462,2701518,1602806,1248645,1511528,1479272,2043183,2892706,2179892,1265870,17741175,10171918,2848137.0400000005,2665042.5160000003,5513179.556000001,2726074.024,238773,213,200174,12237.0,24629,1579,129509,97034,84415,5992,4839,7749,58,2014,4556,62249,8415
New York,2015,64,7903480,790348,2778088,1538092,1332565,1585394,1439344,1950650,2863649,2143406,1210973,17623407,10179199,2962146.9090000005,2473545.357,5435692.266000001,3226806.083,237274,188,195890,14122.0,25305,1816,130377,98738,70258,5415,4618,7713,55,1995,4646,62927,7049
New York,2016,65,7853751,772307,2805032,1454602,1387192,1762028,1413576,1895468,2747671,2164000,1165001,17577856,10163239,3008318.7440000004,2561136.228,5569454.971999999,2896523.1149999998,234283,354,192694,14576.0,25147,1731,129052,99215,71042,5241,4823,5044,36,1961,4585,62386,6213
New York,2017,46,7836630,749513,2851839,1433134,1481289,1947056,1353111,1893215,2785947,2173543,1153679,17819133,10211503,2961335.8699999996,2583510.259,5544846.128999999,3032816.391,229737,461,189696,14381.0,23750,1767,126703,95125,70216,5190,4480,5365,39,1908,4835,62557,5799
New York,2018,66,7665284,773424,2978173,1419828,1550684,2119379,1327147,1825698,2722064,2183053,1073951,17977543,10050896,2975065.2160000005,2743894.608,5718959.824000001,2633334.7520000003,226238,540,187729,13928.0,22684,1752,70960,94631,72032,4985,4329,6356,43,1850,4706,62478,6586
New York,2019,76,7582449,705660,3055879,1275638,1667443,2431274,1221902,1781628,2720617,2195309,1064093,18116239,10002751,3050839.0549999997,2770762.027,5821601.082,2940808.7939999998,221539,535,182529,13881.0,23260,1713,71152,94589,70640,4796,4020,5298,33,1852,5041,61770,5817
South Carolina,2011,19,1882063,270222,487828,530165,141844,113702,498124,649330,831007,499253,370005,4392702,2404948,683005.232,793632.8400000001,1476638.072,709459.6599999999,57393,876,101688,2742.0,14815,726,70943,36060,0,4124,2439,1796,45,1243,5369,139765,7735
South Carolina,2012,16,1889660,260087,473306,528751,155919,135928,492366,663716,830598,509195,365752,4413848,2427942,713814.948,801220.86,1515035.808,694391.4120000001,57155,825,101011,2723.0,14933,725,70304,36266,40386,3901,2297,1971,58,1201,5337,135650,7689
South Carolina,2013,17,1901095,246698,508487,507225,156642,130780,515726,637897,820889,539367,365809,4430740,2427942,723526.716,810932.6279999999,1534459.344,708959.064,56795,709,100274,2781.0,14977,114,69370,35518,40324,4045,2494,1712,66,1253,5530,136658,7351
South Carolina,2014,24,1915936,257232,525098,514087,170876,152426,496232,669866,832547,550346,331804,4501157,2481123,744336.9,803883.8520000001,1548220.752,692233.3169999999,57627,598,100633,3485.0,16037,132,67754,42564,39933,4031,2862,1392,37,1210,5565,136118,6780
South Carolina,2015,20,1933616,246763,551486,497474,185451,170073,483384,653298,885724,583632,326436,4582926,2511050,735737.6499999999,831157.55,1566895.2000000002,733226.6,58139,528,100670,4272.0,14907,179,71120,42608,36001,3866,2736,1091,48,1339,5502,135834,5478
South Carolina,2016,28,1948628,226611,605252,455054,212455,198433,488864,659138,860910,593821,329629,4627955,2555776,761621.248,856184.9600000001,1617806.208,746286.592,57342,643,100547,4514.0,14855,418,72038,44203,38327,3773,2700,691,61,1190,5466,133305,5038
South Carolina,2017,24,1962982,211213,630384,477199,231209,226949,490564,637667,877649,597668,331031,4711907,2587467,742603.029,908200.9170000001,1650803.946,789177.4349999999,57029,661,98944,4273.0,15718,300,71136,42903,37488,3651,2793,799,36,1229,5324,132054,4627
South Carolina,2018,16,1977950,210325,647664,454653,248695,249591,476831,627942,890242,635574,313408,4751534,2615420,763702.6399999999,946782.0400000002,1710484.6800000002,784626.0,56669,582,97354,4805.0,15012,38,78225,41313,39118,3638,2822,921,53,1204,5255,133051,4677
South Carolina,2019,24,1992156,181855,733322,416645,313710,301347,430513,657073,892458,647323,305146,4880700,2663713,804441.326,980246.384,1784687.7100000002,823087.317,57038,609,95141,5409.0,15664,15,78058,40941,40485,3654,2823,995,47,1289,5298,128494,4542
Texas,2011,130,10454393,1137189,2898012,2406509,1064092,1059672,2311756,3051768,3994281,2651707,1561788,22130623,12933519,3737786.991,3867122.181,7604909.171999999,3673119.3959999997,377445,694,107730,18836.0,9569,21,77724,42935,46422,4290,2980,8114,73,1348,2243,71635,1821
Texas,2012,159,10573091,1103279,3019921,2327360,1149921,1139980,2288406,3064101,4039828,2751005,1532759,22434521,13113985,3829283.6199999996,3934195.5,7763479.120000001,3803055.65,382727,782,107522,19004.0,10039,15,76788,41240,47358,4486,3139,8149,78,1467,2210,70455,1764
Texas,2013,167,10697806,1051742,3168363,2323419,1246515,1298381,2275342,3107296,4083585,2730574,1489223,22774459,13113985,3816169.6350000007,4222703.17,8038872.805,4393184.975000001,387340,967,107814,19563.0,9444,56,75850,41108,48487,4828,3201,6738,80,1376,2265,71365,1610
Texas,2014,147,10892473,1089935,3289263,2284415,1314523,1431503,2236387,3050427,4121768,2847853,1483988,23157628,13572641,4126082.864,4166800.787,8292883.651,4071792.3,399766,896,107692,19967.0,9727,142,72905,53391,49285,4458,3511,2627,74,1363,2329,71421,1306
Texas,2015,157,11069496,979167,3453275,2242327,1416290,1584401,2256030,3083950,4225256,2949719,1372379,23552302,13843701,4070048.0939999996,4582265.031,8652313.125,4319234.712,403618,891,105775,20897.0,10345,42,74543,53900,43514,4403,3439,2568,85,1400,2305,71805,1140
Texas,2016,153,11182184,973518,3592485,2143077,1491399,1713130,2255136,3073676,4265665,2957428,1374350,23828521,14031643,3900796.754,4854948.478,8755745.232,3984986.6119999997,398047,16,103092,22263.0,10594,147,73922,52360,44488,4280,3429,1896,70,1307,2310,72838,1119
Texas,2017,147,11325577,895332,3782576,2069611,1627911,1790098,2147160,3019486,4303779,3081945,1408839,24126757,14241895,4471955.03,4571648.295,9043603.325,4828002.404999999,382050,16,100250,23229.0,11134,121,73094,52144,46993,4212,3258,1546,74,1404,2387,73229,1021
Texas,2018,94,11458528,921878,3873741,2013092,1757334,1986888,2108483,2983454,4291399,3095222,1390803,24424140,14451661,3930851.7920000004,5231501.282000001,9162353.074000001,4162078.3680000007,378624,29,98361,23066.0,11498,124,31006,52207,47563,3987,3157,1230,69,1187,2260,75511,1111
Texas,2019,89,11552850,815537,4159610,1919828,1951768,2221716,1988437,2939761,4373526,3263972,1303057,24924818,14610119,4514526.771,5098931.5309999995,9613458.302,4295374.986,377599,63,96884,23443.0,11863,134,30426,51985,47599,3768,2975,958,79,1327,2369,75425,1177
Washington,2011,14,2727051,274867,994585,561444,366558,325432,601103,881333,1271369,920396,368525,6568660,3421977,1002639.2609999999,852072.273,1854711.5340000002,756256.917,86976,178,38179,11395.0,2266,427,29102,14027,17514,2080,1426,2695,24,492,4797,87376,11915
Washington,2012,17,2740008,254997,1042733,552840,385842,347935,579058,871450,1269993,894092,379132,6575457,3455583,943374.1590000001,908818.329,1852192.4880000001,691116.6000000001,87463,226,37703,12566.0,2017,633,28780,14663,17137,1995,1312,2851,20,490,4910,88211,11740
Washington,2013,20,2750390,250985,1049679,551363,420294,386732,582226,831467,1239675,900844,386609,6598189,3455583,953740.908,957196.4909999999,1910937.3989999997,701483.349,86577,268,37154,13624.0,2157,556,27696,14895,17737,1839,1305,3535,25,481,4800,89191,11495
Washington,2014,20,2771382,241087,1100417,526336,457319,435528,555678,837896,1256082,918059,361387,6688478,3531933,1098431.163,918302.5800000001,2016733.7430000002,649875.672,88585,333,35852,14477.0,2477,524,26465,18872,17544,1806,1505,1987,17,446,4969,88722,10770
Washington,2015,11,2802782,225352,1155115,484902,486398,516452,553554,841311,1243485,976540,340166,6820963,3585130,1071953.8699999999,928548.67,2000502.5399999998,702685.48,88990,390,34877,15040.0,2661,544,26958,19508,15815,1677,1353,1193,21,503,4911,88256,9278
Washington,2016,12,2835971,228961,1227483,471749,538988,586755,511075,817458,1240193,976982,321202,6925024,3648274,1054351.186,1010571.8979999999,2064923.0839999998,704116.882,90505,1679,34272,15294.0,2389,752,27142,18857,16552,1781,1362,1187,16,478,5113,88166,7976
Washington,2017,24,2872800,215881,1307185,452804,600263,670113,490691,782464,1248888,996028,326846,7099290,3707128,1034288.7119999999,1004631.6880000001,2038920.4000000001,748839.8559999999,87562,1454,32630,14737.0,2013,779,26444,19120,16402,1542,1273,1168,13,457,5193,88193,7589
Washington,2018,21,2907975,189688,1352643,445996,669894,774708,474696,795249,1253659,998087,292264,7246041,3768732,1104238.476,1055244.9600000002,2159483.4359999998,678371.76,86085,1670,32408,14719.0,1932,778,83832,19462,15242,1532,1282,1077,31,443,5049,90037,7144
Washington,2019,31,2923476,189728,1405428,421387,723614,915909,443373,722149,1207880,1001507,283779,7313326,3807321,1123159.6949999998,1066049.8800000001,2189209.5749999997,750042.237,84895,1672,31218,15291.0,1789,897,83417,19811,15230,1543,1173,530,29,513,5165,88122,7024
