Notes	Census Division	Census Division Code	Year	Year Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Deaths	Population	Crude Rate
	Division 2: Middle Atlantic	CENS-D2	2014	2014	15-24 years	15-24	17	2734643	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2014	2014	25-34 years	25-34	64	2810579	2.3
	Division 2: Middle Atlantic	CENS-D2	2014	2014	35-44 years	35-44	45	2630823	1.7
	Division 2: Middle Atlantic	CENS-D2	2014	2014	45-54 years	45-54	25	3033972	0.8
	Division 2: Middle Atlantic	CENS-D2	2014	2014	55-64 years	55-64	0	2814978	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2015	2015	5-14 years	14-May	0	2401017	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2015	2015	15-24 years	15-24	16	2707363	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2015	2015	25-34 years	25-34	53	2836245	1.9
	Division 2: Middle Atlantic	CENS-D2	2015	2015	35-44 years	35-44	44	2612007	1.7
	Division 2: Middle Atlantic	CENS-D2	2015	2015	45-54 years	45-54	22	2992963	0.7
	Division 2: Middle Atlantic	CENS-D2	2015	2015	55-64 years	55-64	0	2861749	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2016	2016	5-14 years	14-May	0	2393015	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2016	2016	15-24 years	15-24	19	2672354	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2016	2016	25-34 years	25-34	59	2845121	2.1
	Division 2: Middle Atlantic	CENS-D2	2016	2016	35-44 years	35-44	42	2574344	1.6
	Division 2: Middle Atlantic	CENS-D2	2016	2016	45-54 years	45-54	29	2935001	1
	Division 2: Middle Atlantic	CENS-D2	2016	2016	55-64 years	55-64	0	2887790	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2017	2017	5-14 years	14-May	0	2380892	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2017	2017	15-24 years	15-24	21	2645191	0.8
	Division 2: Middle Atlantic	CENS-D2	2017	2017	25-34 years	25-34	60	2875566	2.1
	Division 2: Middle Atlantic	CENS-D2	2017	2017	35-44 years	35-44	27	2579140	1
	Division 2: Middle Atlantic	CENS-D2	2017	2017	45-54 years	45-54	20	2883108	0.7
	Division 2: Middle Atlantic	CENS-D2	2018	2018	5-14 years	14-May	0	2352241	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2018	2018	15-24 years	15-24	13	2576775	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2018	2018	25-34 years	25-34	41	2839629	1.4
	Division 2: Middle Atlantic	CENS-D2	2018	2018	35-44 years	35-44	73	2557934	2.9
	Division 2: Middle Atlantic	CENS-D2	2018	2018	55-64 years	55-64	0	2915593	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2019	2019	5-14 years	14-May	0	2335716	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2019	2019	15-24 years	15-24	20	2536838	0.8
	Division 2: Middle Atlantic	CENS-D2	2019	2019	25-34 years	25-34	66	2834435	2.3
	Division 2: Middle Atlantic	CENS-D2	2019	2019	35-44 years	35-44	62	2560498	2.4
	Division 2: Middle Atlantic	CENS-D2	2020	2020	5-14 years	14-May	0	2325324	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2020	2020	15-24 years	15-24	17	2499069	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2020	2020	25-34 years	25-34	60	2818933	2.1
	Division 2: Middle Atlantic	CENS-D2	2020	2020	35-44 years	35-44	54	2570117	2.1
	Division 2: Middle Atlantic	CENS-D2	2020	2020	45-54 years	45-54	0	2624043	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2020	2020	55-64 years	55-64	0	2901242	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2021	2021	5-14 years	14-May	0	2418682	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2021	2021	15-24 years	15-24	21	2563855	0.8
	Division 2: Middle Atlantic	CENS-D2	2021	2021	25-34 years	25-34	75	2828946	2.7
	Division 2: Middle Atlantic	CENS-D2	2021	2021	35-44 years	35-44	80	2679661	3
	Division 2: Middle Atlantic	CENS-D2	2021	2021	55-64 years	55-64	0	2960397	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2022	2022	5-14 years	14-May	0	2356617	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2022	2022	15-24 years	15-24	22	2625416	0.8
	Division 2: Middle Atlantic	CENS-D2	2022	2022	25-34 years	25-34	70	2786697	2.5
	Division 2: Middle Atlantic	CENS-D2	2022	2022	35-44 years	35-44	61	2666314	2.3
	Division 2: Middle Atlantic	CENS-D2	2023	2023	5-14 years	14-May	0	2353907	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2023	2023	15-24 years	15-24	16	2580098	Unreliable
	Division 2: Middle Atlantic	CENS-D2	2023	2023	25-34 years	25-34	50	2783451	1.8
	Division 2: Middle Atlantic	CENS-D2	2023	2023	35-44 years	35-44	39	2705698	1.4
	Division 2: Middle Atlantic	CENS-D2	2023	2023	55-64 years	55-64	0	2857620	Unreliable
	Division 3: East North Central	CENS-D3	2010	2010	5-14 years	14-May	0	3038551	Unreliable
	Division 3: East North Central	CENS-D3	2010	2010	15-24 years	15-24	33	3191897	1
	Division 3: East North Central	CENS-D3	2010	2010	25-34 years	25-34	57	2942685	1.9
	Division 3: East North Central	CENS-D3	2010	2010	35-44 years	35-44	32	3035924	1.1
	Division 3: East North Central	CENS-D3	2010	2010	45-54 years	45-54	19	3519667	Unreliable
	Division 3: East North Central	CENS-D3	2011	2011	15-24 years	15-24	40	3187773	1.3
	Division 3: East North Central	CENS-D3	2011	2011	25-34 years	25-34	60	2965830	2
	Division 3: East North Central	CENS-D3	2011	2011	35-44 years	35-44	46	2975651	1.5
	Division 3: East North Central	CENS-D3	2011	2011	45-54 years	45-54	24	3466787	0.7
	Division 3: East North Central	CENS-D3	2011	2011	55-64 years	55-64	0	3027541	Unreliable
	Division 3: East North Central	CENS-D3	2012	2012	5-14 years	14-May	0	2997908	Unreliable
	Division 3: East North Central	CENS-D3	2012	2012	15-24 years	15-24	27	3180521	0.8
	Division 3: East North Central	CENS-D3	2012	2012	25-34 years	25-34	55	2974381	1.8
	Division 3: East North Central	CENS-D3	2012	2012	35-44 years	35-44	34	2942248	1.2
	Division 3: East North Central	CENS-D3	2012	2012	45-54 years	45-54	32	3404238	0.9
	Division 3: East North Central	CENS-D3	2012	2012	55-64 years	55-64	0	3065673	Unreliable
	Division 3: East North Central	CENS-D3	2013	2013	5-14 years	14-May	0	2981409	Unreliable
	Division 3: East North Central	CENS-D3	2013	2013	15-24 years	15-24	24	3181426	0.8
	Division 3: East North Central	CENS-D3	2013	2013	25-34 years	25-34	54	2985167	1.8
	Division 3: East North Central	CENS-D3	2013	2013	35-44 years	35-44	30	2920371	1
	Division 3: East North Central	CENS-D3	2013	2013	45-54 years	45-54	28	3333921	0.8
	Division 3: East North Central	CENS-D3	2014	2014	5-14 years	14-May	0	2954825	Unreliable
	Division 3: East North Central	CENS-D3	2014	2014	15-24 years	15-24	24	3174754	0.8
	Division 3: East North Central	CENS-D3	2014	2014	25-34 years	25-34	45	2999925	1.5
	Division 3: East North Central	CENS-D3	2014	2014	35-44 years	35-44	41	2903859	1.4
	Division 3: East North Central	CENS-D3	2014	2014	45-54 years	45-54	27	3273495	0.8
	Division 3: East North Central	CENS-D3	2014	2014	55-64 years	55-64	0	3176305	Unreliable
	Division 3: East North Central	CENS-D3	2015	2015	15-24 years	15-24	23	3150549	0.7
	Division 3: East North Central	CENS-D3	2015	2015	25-34 years	25-34	72	3013432	2.4
	Division 3: East North Central	CENS-D3	2015	2015	35-44 years	35-44	39	2884065	1.4
	Division 3: East North Central	CENS-D3	2015	2015	45-54 years	45-54	30	3218896	0.9
	Division 3: East North Central	CENS-D3	2015	2015	55-64 years	55-64	0	3221676	Unreliable
	Division 3: East North Central	CENS-D3	2016	2016	5-14 years	14-May	0	2891261	Unreliable
