,Year,State,Census Division,Census Division Code,Region,Female_Population,Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity
340,2013,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5001026,30.3,30.2,60.5,28.0
341,2014,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5101561,29.7,31.1,60.8,24.5
342,2015,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5146796,29.6,31.3,60.900000000000006,27.1
343,2016,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5213407,29.0,33.3,62.3,25.2
344,2017,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5274881,29.3,33.8,63.099999999999994,25.9
345,2018,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5331376,30.6,33.9,64.5,27.1
346,2019,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5393757,29.0,37.4,66.4,27.7
347,2020,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5333560,30.7,34.4,65.1,23.2
348,2021,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5401839,27.3,37.9,65.2,24.9
349,2022,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5469181,28.8,36.1,64.9,24.8
350,2023,North Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,5523437,28.5,36.5,65.0,23.5
351,2011,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,339988,29.8,25.4,55.2,26.0
352,2012,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,342037,30.9,26.7,57.599999999999994,23.2
353,2013,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,342037,30.9,28.0,58.9,27.7
354,2014,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,363158,30.7,29.5,60.2,21.2
355,2015,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,368776,30.4,27.1,57.5,25.4
356,2016,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,367772,30.3,31.6,61.900000000000006,23.0
357,2017,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,367093,30.8,31.2,62.0,27.8
358,2018,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,368855,30.1,34.2,64.30000000000001,21.7
359,2019,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,373723,29.9,33.1,63.0,28.3
360,2020,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,371110,31.8,31.5,63.3,25.2
361,2021,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,375404,30.3,33.1,63.400000000000006,26.6
362,2022,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,380416,30.7,33.6,64.3,24.4
363,2023,North Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,383435,30.5,35.2,65.7,22.9
364,2011,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,930145,29.2,27.6,56.8,25.4
365,2012,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,932426,29.5,28.1,57.6,21.6
366,2013,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,932426,30.2,28.4,58.599999999999994,24.3
367,2014,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,945306,30.5,28.7,59.2,21.4
368,2015,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,953601,30.4,29.8,60.2,25.4
369,2016,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,956992,30.4,31.4,61.8,24.1
370,2017,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,960803,30.2,32.3,62.5,25.0
371,2018,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,968055,29.9,33.8,63.699999999999996,24.3
372,2019,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,967758,29.7,34.7,64.4,27.3
373,2020,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,964149,30.7,33.3,64.0,22.2
374,2021,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,977673,30.1,35.0,65.1,25.1
375,2022,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,979086,30.7,35.4,66.1,26.5
376,2023,Nebraska,Division 4: West North Central,CENS-D4,Region 2: Midwest,985970,30.7,36.6,67.3,24.2
377,2011,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,667134,29.1,24.1,53.2,22.0
378,2012,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,672430,28.4,25.6,54.0,20.8
379,2013,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,672430,29.0,24.8,53.8,22.9
380,2014,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,671999,29.0,25.3,54.3,20.3
381,2015,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,672892,30.1,24.6,54.7,23.0
382,2016,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,670073,28.6,26.5,55.1,20.6
383,2017,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,677054,30.7,25.4,56.099999999999994,25.3
384,2018,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,687016,29.9,28.1,58.0,22.9
385,2019,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,686751,30.5,30.5,61.0,23.9
386,2020,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,683442,29.5,27.9,57.4,21.8
387,2021,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,695758,29.9,27.9,57.8,21.5
388,2022,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,698445,31.9,30.4,62.3,22.2
389,2023,New Hampshire,Division 1: New England,CENS-D1,Region 1: Northeast,702176,29.3,30.7,60.0,22.3
390,2011,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4522613,30.5,21.8,52.3,28.7
391,2012,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4543154,30.0,22.9,52.9,27.0
392,2013,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4543154,29.8,24.9,54.7,30.1
393,2014,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4574784,30.1,25.3,55.400000000000006,26.4
394,2015,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4583121,32.0,23.7,55.7,29.4
395,2016,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4574258,29.8,25.6,55.400000000000006,32.3
396,2017,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4608796,30.1,25.2,55.3,31.5
397,2018,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4558134,29.4,25.5,54.9,30.8
398,2019,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4539599,,,,
399,2020,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4544295,30.4,26.7,57.099999999999994,23.0
400,2021,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4703570,32.2,27.5,59.7,26.8
401,2022,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4696995,32.3,27.4,59.699999999999996,26.1
402,2023,New Jersey,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,4717692,30.7,28.6,59.3,26.9
403,2011,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1045666,30.0,26.3,56.3,26.4
404,2012,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050661,29.9,27.5,57.4,24.0
405,2013,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050661,30.3,27.1,57.400000000000006,25.6
406,2014,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1052793,30.9,29.4,60.3,26.1
407,2015,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1049966,31.0,28.5,59.5,23.7
408,2016,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1050791,31.9,27.6,59.5,23.4
409,2017,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1053926,31.8,29.4,61.2,26.7
410,2018,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1055787,30.4,33.5,63.9,25.1
411,2019,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1060121,31.1,32.5,63.6,27.0
412,2020,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1059014,31.5,31.1,62.6,24.8
413,2021,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1063522,31.4,35.6,67.0,26.4
414,2022,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1065559,32.8,32.6,65.4,27.1
415,2023,New Mexico,Division 8: Mountain,CENS-D8,Region 4: West,1065826,33.1,33.6,66.7,25.4
416,2011,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1350572,27.9,23.4,51.3,25.9
417,2012,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1367067,28.7,25.8,54.5,23.5
418,2013,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1367067,29.8,26.6,56.400000000000006,27.2
419,2014,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1412355,27.4,25.4,52.8,24.9
420,2015,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1443389,32.3,25.4,57.699999999999996,28.4
421,2016,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1466905,29.2,25.8,55.0,28.1
422,2017,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1491787,31.0,27.1,58.1,26.3
423,2018,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1512018,32.3,29.2,61.5,27.3
424,2019,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1535377,33.4,29.2,62.599999999999994,27.2
425,2020,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1510085,29.7,27.0,56.7,27.9
426,2021,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1558784,33.9,29.4,63.3,26.2
427,2022,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1577850,28.2,35.3,63.5,28.7
428,2023,Nevada,Division 8: Mountain,CENS-D8,Region 4: West,1586682,30.2,31.9,62.099999999999994,29.2
429,2011,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10027190,30.4,23.7,54.099999999999994,28.4
430,2012,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10084389,30.6,22.9,53.5,27.6
431,2013,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10084389,28.6,26.1,54.7,28.4
432,2014,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10171918,28.0,26.2,54.2,26.8
433,2015,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10179199,29.1,24.3,53.400000000000006,31.7
434,2016,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10163239,29.6,25.2,54.8,28.5
435,2017,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10211503,29.0,25.3,54.3,29.7
436,2018,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10050896,29.6,27.3,56.900000000000006,26.2
437,2019,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10002751,30.5,27.7,58.2,29.4
438,2020,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10040665,30.6,26.3,56.900000000000006,27.5
439,2021,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10139340,28.8,29.8,58.6,28.1
440,2022,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10048252,29.4,30.3,59.7,28.1
441,2023,New York,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,10019312,30.5,28.7,59.2,28.8
442,2011,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5903423,29.9,27.6,57.5,28.6
443,2012,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5901591,29.5,29.7,59.2,27.1
444,2013,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5901591,28.7,30.8,59.5,29.6
445,2014,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5917577,29.2,32.5,61.7,26.0
446,2015,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5929472,33.0,28.4,61.4,28.1
447,2016,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5922773,29.7,32.1,61.8,28.6
448,2017,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5949355,29.9,34.1,64.0,31.0
449,2018,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5957347,29.8,34.3,64.1,28.5
450,2019,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5956893,29.6,35.7,65.30000000000001,30.4
451,2020,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5953479,27.5,37.1,64.6,27.1
452,2021,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5971442,28.4,39.0,67.4,28.9
453,2022,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5945847,29.0,39.1,68.1,28.0
454,2023,Ohio,Division 3: East North Central,CENS-D3,Region 2: Midwest,5972119,28.9,37.0,65.9,28.9
455,2011,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1913665,28.6,31.5,60.1,31.7
456,2012,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1925013,29.8,31.4,61.2,29.1
457,2013,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1925013,30.7,32.2,62.900000000000006,34.1
458,2014,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1957489,30.6,32.5,63.1,30.4
459,2015,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1971783,30.3,34.0,64.3,33.1
460,2016,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1980288,30.6,32.2,62.800000000000004,31.2
461,2017,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1981878,29.1,36.1,65.2,34.8
462,2018,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1993003,29.0,37.0,66.0,29.1
463,2019,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1994494,31.3,37.2,68.5,35.6
464,2020,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,1992725,27.6,38.6,66.2,31.7
465,2021,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2001932,29.3,39.0,68.3,31.0
466,2022,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2015605,27.8,41.6,69.4,33.4
467,2023,Oklahoma,Division 7: West South Central,CENS-D7,Region 3: South,2039136,27.8,39.3,67.1,33.8
468,2011,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,1957743,28.5,27.2,55.7,18.7
469,2012,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,1966564,28.0,27.3,55.3,16.6
470,2013,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,1966564,27.4,25.0,52.4,17.7
471,2014,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2005946,26.4,28.7,55.099999999999994,17.2
472,2015,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2036815,28.7,28.9,57.599999999999994,18.3
473,2016,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2067427,27.7,28.8,56.5,17.4
474,2017,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2088760,29.0,30.0,59.0,22.4
475,2018,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2110770,28.1,30.8,58.900000000000006,20.5
476,2019,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2128061,29.9,29.0,58.9,24.4
477,2020,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2105719,30.2,28.5,58.7,18.5
478,2021,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2124623,30.1,31.1,61.2,21.9
479,2022,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2118486,32.1,31.4,63.5,20.1
480,2023,Oregon,Division 9: Pacific,CENS-D9,Region 4: West,2128151,26.6,34.2,60.800000000000004,21.4
481,2011,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6526048,30.9,27.6,58.5,28.3
482,2012,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6534203,28.8,29.2,58.0,25.6
483,2013,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6534203,28.0,29.7,57.7,28.1
484,2014,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6533959,28.9,29.1,58.0,24.5
485,2015,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6540257,29.9,30.1,60.0,29.6
486,2016,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6521357,30.1,29.3,59.400000000000006,24.7
487,2017,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6533016,30.3,30.5,60.8,25.9
488,2018,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6535440,29.4,30.8,60.2,26.9
489,2019,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6529462,30.6,33.2,63.800000000000004,26.7
490,2020,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6525743,30.8,32.1,62.900000000000006,27.6
491,2021,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6564424,29.3,32.6,61.900000000000006,26.8
492,2022,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6572178,30.1,34.3,64.4,25.5
493,2023,Pennsylvania,Division 2: Middle Atlantic,CENS-D2,Region 1: Northeast,6572348,,,,
494,2011,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,542906,31.4,23.3,54.7,27.7
495,2012,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,543457,29.8,23.8,53.6,25.6
496,2013,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,543457,31.5,26.1,57.6,28.3
497,2014,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,543523,29.0,25.8,54.8,25.1
498,2015,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,544525,31.4,24.1,55.5,29.6
499,2016,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,545068,31.5,25.3,56.8,28.1
500,2017,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,546441,30.2,29.0,59.2,29.1
501,2018,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,541415,31.0,27.1,58.1,28.4
502,2019,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,542140,29.6,28.2,57.8,28.3
503,2020,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,543274,28.8,28.4,57.2,25.7
504,2021,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,559021,30.8,29.2,60.0,26.7
505,2022,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,557893,31.4,31.9,63.3,26.5
506,2023,Rhode Island,Division 1: New England,CENS-D1,Region 1: Northeast,560463,30.3,31.5,61.8,30.3
507,2011,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2404948,28.4,33.0,61.4,29.5
508,2012,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2427942,29.4,33.0,62.4,28.6
509,2013,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2427942,29.8,33.4,63.2,29.2
510,2014,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2481123,30.0,32.4,62.4,27.9
511,2015,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2511050,29.3,33.1,62.400000000000006,29.2
512,2016,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2555776,29.8,33.5,63.3,29.2
513,2017,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2587467,28.7,35.1,63.8,30.5
514,2018,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2615420,29.2,36.2,65.4,30.0
515,2019,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2663713,30.2,36.8,67.0,30.9
516,2020,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2622835,28.4,39.4,67.8,29.1
517,2021,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2669016,29.1,38.3,67.4,27.4
518,2022,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2712725,29.1,37.2,66.30000000000001,29.7
519,2023,South Carolina,Division 5: South Atlantic,CENS-D5,Region 3: South,2768541,28.2,39.6,67.8,28.9
520,2011,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,413577,28.9,26.3,55.2,24.8
521,2012,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,415551,31.2,27.5,58.7,20.6
522,2013,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,415551,31.9,27.6,59.5,21.7
523,2014,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,425794,29.6,28.1,57.7,22.8
524,2015,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,426929,28.5,28.5,57.0,21.1
525,2016,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,429786,32.8,26.7,59.5,18.9
526,2017,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,431237,31.4,29.5,60.9,21.9
527,2018,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,436964,32.4,28.7,61.099999999999994,23.3
528,2019,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,435201,31.8,32.3,64.1,30.7
529,2020,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,436388,31.6,34.3,65.9,22.1
530,2021,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,443426,31.2,37.0,68.2,23.9
531,2022,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,447367,29.6,37.0,66.6,23.4
532,2023,South Dakota,Division 4: West North Central,CENS-D4,Region 2: Midwest,451096,29.5,34.1,63.6,26.8
533,2011,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3284402,29.7,30.4,60.099999999999994,37.2
534,2012,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3311487,29.4,31.8,61.2,31.4
535,2013,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3311487,28.8,34.6,63.400000000000006,39.5
536,2014,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3359153,32.1,30.5,62.6,30.3
537,2015,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3385610,30.1,34.5,64.6,31.9
538,2016,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3404136,29.9,33.5,63.4,32.6
539,2017,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3443849,31.0,32.4,63.4,32.5
540,2018,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3467819,29.4,35.3,64.69999999999999,34.0
541,2019,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3500059,30.6,36.0,66.6,33.2
542,2020,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3467806,30.7,36.7,67.4,27.5
543,2021,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3562037,32.5,37.1,69.6,30.5
544,2022,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3588721,24.8,42.7,67.5,32.4
545,2023,Tennessee,Division 6: East South Central,CENS-D6,Region 3: South,3629494,27.9,39.4,67.3,30.4
546,2011,Texas,Division 7: West South Central,CENS-D7,Region 3: South,12933519,28.9,29.9,58.8,28.4
547,2012,Texas,Division 7: West South Central,CENS-D7,Region 3: South,13113985,29.2,30.0,59.2,29.0
548,2013,Texas,Division 7: West South Central,CENS-D7,Region 3: South,13113985,29.1,32.2,61.300000000000004,33.5
549,2014,Texas,Division 7: West South Central,CENS-D7,Region 3: South,13572641,30.4,30.7,61.099999999999994,30.0
550,2015,Texas,Division 7: West South Central,CENS-D7,Region 3: South,13843701,29.4,33.1,62.5,31.2
551,2016,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14031643,27.8,34.6,62.400000000000006,28.4
552,2017,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14241895,31.4,32.1,63.5,33.9
553,2018,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14451661,27.2,36.2,63.400000000000006,28.8
554,2019,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14610119,30.9,34.9,65.8,29.4
555,2020,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14413722,29.0,36.1,65.1,27.3
556,2021,Texas,Division 7: West South Central,CENS-D7,Region 3: South,14788930,28.9,36.6,65.5,27.1
557,2022,Texas,Division 7: West South Central,CENS-D7,Region 3: South,15008431,29.5,36.7,66.2,29.2
558,2023,Texas,Division 7: West South Central,CENS-D7,Region 3: South,15290157,31.1,35.5,66.6,31.2
559,2011,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1399583,27.4,22.9,50.3,19.5
560,2012,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1420259,26.1,24.0,50.1,18.0
561,2013,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1420259,28.1,23.7,51.8,21.5
562,2014,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1463375,27.0,25.8,52.8,18.1
563,2015,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1489536,27.6,24.0,51.6,20.9
564,2016,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1513072,27.7,25.1,52.8,16.6
565,2017,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1538400,28.6,24.3,52.900000000000006,20.9
566,2018,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1568648,27.7,26.8,54.5,19.2
567,2019,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1595287,28.2,28.9,57.099999999999994,19.4
568,2020,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1564289,28.6,28.6,57.2,18.0
569,2021,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1643205,28.2,31.4,59.599999999999994,19.4
570,2022,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1664683,29.3,30.5,59.8,18.6
571,2023,Utah,Division 8: Mountain,CENS-D8,Region 4: West,1685987,28.1,30.2,58.3,17.8
572,2011,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4117825,28.3,28.6,56.900000000000006,26.6
573,2012,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4170822,30.1,27.5,57.6,24.6
574,2013,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4170822,30.7,27.3,58.0,28.3
575,2014,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4233618,30.5,29.3,59.8,25.8
576,2015,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4256667,28.4,29.7,58.099999999999994,25.9
577,2016,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4276323,30.6,29.5,60.1,25.2
578,2017,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4306266,29.7,31.6,61.3,27.2
579,2018,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4326947,31.4,30.2,61.599999999999994,23.9
580,2019,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4333720,29.5,34.2,63.7,27.0
581,2020,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4322815,30.1,31.8,61.900000000000006,23.1
582,2021,Virginia,Division 5: South Atlantic,CENS-D5,Region 3: South,4368343,29.5,34.9,64.4,24.6
