,State,Year,Deaths,Population,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Total,Female_Population,Absolute_Overweight,Absolute_Obese,Absolute_Overweight_or_Obese,Absolute_No_Activity,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks,MMR
14,Arkansas,2016,17,1157667,163452,321880,326867,100243,95206,327144,426655,532365,324868,215633,2835433,1519466,410255.82,598669.6039999999,1008925.424,537890.9639999999,38274,694,2109,132,2007,5224,37753,349,35378,2217,169,236,25919,12354,21238,17036,1047,1738,11414,9954,3430,2083,1490,1522,824,298,4471,0,276,422,1763,1687,25821,6806,1397,70,44.4165752207765
15,Arkansas,2017,14,1158176,162598,325803,319817,129558,97778,319538,421691,537234,341174,203447,2859016,1524597,439083.93600000005,570199.278,1009283.214,547330.323,37520,824,2160,251,2106,5042,37098,292,34484,2414,158,259,24949,12565,20441,17072,1237,2447,12179,10275,3599,2025,1372,1314,729,269,2073,0,270,386,1886,1709,25585,6271,1315,65,37.3134328358209
16,Arkansas,2018,23,1157254,150679,363806,323392,124506,116732,309314,427651,524416,327871,201406,2866155,1537145,451920.62999999995,605635.1299999999,1057555.76,513406.42999999993,37018,827,2222,80,2494,4959,36580,326,33981,2376,161,269,24138,12876,20217,16795,924,958,13474,11396,3809,2160,1435,1325,779,316,437,0,256,378,1929,1726,25498,5943,1163,89,62.131935815008916
17,Arkansas,2019,14,1154035,149858,373228,320698,126704,126009,316101,393263,540701,354518,178210,2880473,1543099,450584.908,601808.61,1052393.5180000002,526196.7590000001,36564,892,2423,77,2838,4372,36169,326,33434,2594,164,162,23958,12604,19451,17107,790,794,14242,10970,3586,2040,1409,1202,864,283,381,0,270,405,1885,1784,25723,5487,923,62,38.28902745870255
18,California,2011,71,15226099,1507416,4675153,3053407,2086932,2223573,2792475,3850510,5230816,3802192,1765309,30996671,18941220,5398247.699999999,4640598.9,10038846.6,3807185.22,502120,3162,24022,525,13255,11092,497952,3054,435228,18664,41790,4214,335455,166661,299431,202689,2406,48866,208020,145806,40655,18917,10967,6873,4802,2345,12161,0,2593,3894,19099,16970,301519,118645,35496,2726,14.140046204094638
19,California,2012,81,15298897,1501079,4766590,2962109,2145546,2353866,2747100,3834899,5294658,3826308,1800515,31209415,19123657,5698849.785999999,4551430.366,10250280.152,4035091.6270000003,503755,3460,27914,566,14672,10297,499308,3353,434627,19581,42515,4500,336388,167365,301729,202026,2589,46773,212551,145865,39478,18547,10984,6877,4913,2509,12388,0,2553,3900,18915,16981,304652,118145,34951,2517,16.079244871018652
20,California,2013,77,15361126,1461289,4821960,2879054,2246706,2673257,2748618,3776083,5238686,3844184,1776281,31461498,19123657,5679726.129,4417564.767,10097290.896,4168957.226,494705,3659,29054,437,16319,9768,489897,3527,421892,22256,43126,4717,330328,164375,298406,196299,2903,46209,216004,139672,36975,17936,10546,7102,5116,2447,9607,0,2710,3679,18725,16368,298880,115057,35828,2546,15.56483156628698
21,California,2014,88,15514394,1443038,5008560,2760463,2425581,2848850,2711437,3713402,5208118,3909243,1698211,31756439,19538043,5392499.868000001,4962662.922,10355162.790000001,4493749.890000001,502879,3820,31762,382,18375,9199,497809,3624,426346,23968,45025,4542,338405,164472,307919,194960,3176,66922,242983,108374,31914,16467,10165,7704,5348,1675,8125,0,2645,3855,18703,16299,305140,116306,36729,2416,17.499239379651964
22,California,2015,84,15584046,1373602,5157870,2724273,2593736,3144618,2631969,3662726,5231525,4005584,1611575,32135007,19704260,5950686.52,4669909.62,10620596.14,3999964.7800000003,491748,3800,31162,339,18586,8397,486454,3709,411164,25030,47642,4756,333102,158646,300758,190990,3173,62219,238708,108562,31674,15551,9503,7426,5431,1808,7676,0,2493,3789,18825,16389,297611,113653,36237,2116,17.08192000780888
23,California,2016,91,15564462,1291750,5297400,2586920,2741018,3576963,2471113,3572896,5198219,3993800,1568435,32295249,19758786,5828841.87,4979214.072,10808055.942000002,4406209.278,488827,4157,31869,389,19219,7741,483521,3553,405221,26864,48898,4684,332874,155952,301976,186851,3528,60763,239529,108621,30173,14702,8892,7094,5812,1709,7990,0,2405,3725,19064,16807,297339,111602,35499,1881,18.61599297911122
24,California,2017,89,15622590,1234297,5562305,2395210,2927649,3936851,2360504,3425454,5115669,4023455,1475744,32457159,19886602,5886434.192000001,5130743.316000001,11017177.508000001,4196073.022000001,471658,4554,33403,422,21058,6753,466260,3520,386654,27423,49512,4761,323580,148077,686,435,3999,57408,234426,105285,28825,13962,8545,6519,5286,1736,5642,0,2308,3601,18172,16736,287098,106574,35042,1716,18.869604671181236
25,California,2018,81,15555212,1116031,5639060,2267689,3097860,4402563,2249840,3291471,5008513,4029671,1499951,32602667,19883492,6044581.568,5090173.9520000005,11134755.520000001,4473785.7,454920,4955,34335,420,22716,6025,449929,3269,368707,27962,50535,4281,314452,140464,0,0,3754,52655,229779,103387,27036,13233,7862,6154,4950,1592,4494,0,2298,3510,18019,16057,278659,101541,33103,1404,17.80532840939066
26,California,2019,70,15468016,1071901,5882065,2017064,3275611,4894332,2126859,3131890,4918444,4128858,1343251,32805932,19871429,6021042.987,5564000.12,11585043.106999999,4828757.2469999995,446479,5350,35899,397,25353,4935,441421,3081,356285,32676,51329,2759,309137,137337,0,0,3416,47876,222516,107547,26980,12667,7466,6046,4954,1575,5415,0,2225,3823,17426,16388,277906,97216,30007,1187,15.6782289872536
27,Florida,2011,50,7346733,989228,1885796,2115148,650108,659240,2068767,2609895,3264206,1972217,1306702,17505621,9736393,2959863.472,2492516.608,5452380.08,2843026.756,213414,3206,12353,225,10604,14226,210323,1474,175296,11576,23008,1139,131961,81345,111869,101545,2584,21150,71112,58216,23225,11810,7027,4430,2950,1179,9617,0,1665,2085,9784,8404,140112,41575,8927,422,23.428641045104822
28,Florida,2012,64,7406212,970206,1976087,2103718,660267,722771,2058077,2668916,3257401,2008798,1289244,17715506,9876567,3081488.904,2360499.513,5441988.416999999,2577783.987,213148,3148,12192,218,11231,14129,209779,1619,175539,11486,22453,1068,131816,81230,110987,102161,2879,20003,71301,59291,23608,12070,7170,4774,3336,1354,7201,0,1616,2111,9613,8392,140284,41397,9024,410,30.02608516148404
29,Florida,2013,83,7450570,931663,2003312,2017311,698138,781962,2012841,2674850,3312520,2032965,1299181,17757551,9876567,2962970.1,2498771.451,5461741.550999999,2962970.1,215407,3104,11464,222,11246,14145,211754,1734,177686,11050,22416,1379,134062,81237,112021,103386,2850,21434,70198,60557,24234,11968,6979,4756,3370,1489,7419,0,1578,2089,9565,8275,141088,42608,9444,434,38.53170974016629
30,Florida,2014,62,7550538,884456,2156175,2014485,760907,822691,2008412,2680843,3379062,2065011,1265445,18036195,10171069,3000465.355,2705504.3540000003,5705969.709000001,2705504.3540000003,219991,3001,11411,204,11064,14064,216171,1891,180951,11702,22968,1408,138230,81707,114569,105422,2918,27763,76291,55363,21079,11121,6557,4993,3548,1096,9256,0,1664,2273,9589,8249,142589,44358,10628,488,28.18297112154588
31,Florida,2015,68,7660309,850174,2227680,2006932,856648,916783,1976589,2672783,3449771,2219019,1210457,18371144,10380034,3321610.88,2688428.806,6010039.686,2792229.1459999997,224269,2998,11376,232,11488,12970,220304,1967,183536,11786,24392,1523,140458,83715,117144,107125,3119,26484,78145,56778,20841,10879,6821,5215,3819,1110,11040,0,1686,2205,10024,8399,145483,44421,11331,531,30.320730907972123
32,Florida,2016,50,7739219,829507,2367247,1891925,893598,1019870,1956362,2703709,3504473,2288954,1180971,18660706,10541579,3173015.279,2804060.014,5977075.2930000005,3404930.0169999995,225022,3315,12139,216,12336,11454,221044,2052,184999,12097,23389,1491,140715,84204,119485,105537,3974,24524,77031,56992,20879,11178,6739,5334,3806,1197,13360,0,1623,2174,10216,8719,146847,43586,11186,480,22.220049595150698
33,Florida,2017,48,7857243,794844,2509127,1844915,1009075,1144671,1882074,2720442,3510945,2392763,1162937,18968223,10730133,3304880.964,2929326.3090000004,6234207.273,3358531.629,223630,3493,13586,229,13321,10639,219587,2020,182735,11761,24699,1347,140410,83124,118553,105023,4897,22641,75026,57135,20950,11409,6979,5563,4123,1295,13603,0,1566,2291,10127,8798,145979,43019,11206,456,21.464025399096723
34,Florida,2018,54,7936419,768734,2732336,1781126,1101870,1288122,1848899,2613045,3560313,2443617,1112810,19256774,10894649,3355551.892,3290183.9979999997,6645735.89,3203026.806,221542,3950,15228,283,16033,9836,217526,2081,178674,12729,25780,1295,139876,81550,118750,102751,4499,19294,72889,60421,21678,11489,7342,5811,4651,1479,11978,0,1623,2119,10109,8788,146251,41014,11028,443,24.374610683301587
