State,Year,Maternal_Mortality_Rate,"$10,000 to $14,999","$100,000 to $149,999","$15,000 to $24,999","$150,000 to $199,999","$200,000 or more","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","Less than $10,000",Percent_Overweight,Percent_Obese,Percent_Overweight_or_Obese,Percent_No_Activity,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,Other_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
Arizona,2011,17.535040856645196,0.05094066769028899,0.12027390484434414,0.11369764669916152,0.03982921308175582,0.03510818451307523,0.10947228491050175,0.14843674323224204,0.1876488631952817,0.11992422446869536,0.0756645816373148,29.1,25.8,54.900000000000006,24.5,85543,0.008311609366049823,0.04692376933238254,0.009024701027553395,0.042072408028710706,0.0,0.9864044983224811,0.007937528494441392,0.8356031469553324,0.09696877593724794,0.056404381422208716,0.0020808248483218965,0.7207486293443064,0.27411944869831545,0.553125328782016,0.44687467121798397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0063827548718188515,0.007224436832937821,0.03999158318038881,0.03920835135545866,0.6388132284348222,0.21130893234981238,0.052394702079655846,0.003752498743322072
Arizona,2012,28.921460880832015,0.04990774001984013,0.1261175307505053,0.10887134726656532,0.04110715361879192,0.03607517580181541,0.10940306946414727,0.14875322063508722,0.1893440569337184,0.11918279664546098,0.07075578698609498,28.2,25.6,53.8,23.9,86441,0.009335847572332573,0.05150333753658565,0.007334482479378998,0.04515218472715494,0.0,0.9853773093786513,0.008375655071088952,0.8249441815805,0.09863375018798949,0.06498073830705337,0.002302148286114228,0.7240892631968626,0.2707627167663493,0.5451348318506264,0.45486516814937356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005552920489119747,0.00795918603440497,0.04021239920870883,0.03806064251917493,0.6411887877280458,0.21130019319535867,0.05137608310870999,0.00313508635948219
Arizona,2013,26.869158878504674,0.048637544203127846,0.12415085957706791,0.10818847629361772,0.04426114194999133,0.039363033748716574,0.10790084757850471,0.1463770822559185,0.18669595943963593,0.1226298627650651,0.07193092330333159,26.8,27.1,53.900000000000006,27.0,85600,0.011168224299065421,0.05746495327102804,0.00705607476635514,0.0559696261682243,0.0,0.9865654205607477,0.007850467289719627,0.8228504672897197,0.09982476635514019,0.06504672897196262,0.0027453271028037383,0.7219509345794393,0.27274532710280375,0.5458528037383178,0.45414719626168226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0051051401869158875,0.007488317757009345,0.04007009345794393,0.03759345794392523,0.6386331775700934,0.21106308411214952,0.05592289719626168,0.003049065420560748
Arizona,2014,27.62208385604291,0.04894777789020803,0.12841909047854888,0.10080364660753577,0.04480560300501052,0.04494713175893569,0.10610088949738289,0.14414311841022368,0.18854030510532058,0.12321286608062539,0.0701444176741908,29.5,28.8,58.3,23.2,86887,0.011958060469345241,0.07050536904254952,0.003924637747879429,0.052562523737728316,0.05380551751125025,0.9855099151771841,0.00807945952789255,0.8204449457341144,0.10370941567783443,0.07195552844499177,0.0027391899823909216,0.722098818004995,0.277901181995005,0.5485630761794055,0.4514369238205946,0.021430133391646622,0.09843820134197291,0.3926594312152566,0.23555882928401256,0.09275265574827074,0.051941026850967346,0.03322706503849828,0.0259877772278937,0.01991091877956426,0.009138306075707528,0.018725471014075755,0.0,0.005455361561568474,0.007642109866838538,0.039591653526994834,0.03689850035103065,0.6374026033814034,0.20624489279178704,0.06201157825681632,0.003337668465938518
Arizona,2015,23.432648709446873,0.04267300353084879,0.13147172870132992,0.09847196128402756,0.05062802262927667,0.046791230546694346,0.10309154053633504,0.14192906786973658,0.1909244060176743,0.1262756272742196,0.06752382327794225,32.0,27.1,59.1,25.3,85351,0.01138826727279118,0.08463872713852211,0.0017574486532085155,0.05996414804747455,0.05253599840657989,0.9852257149886937,0.00838888823798198,0.8019003878103361,0.11735070473690994,0.07675364084779324,0.002765052547714731,0.7244672001499689,0.27552108352567634,0.5446802029267378,0.4553197970732622,0.022120420381717847,0.0826352356738644,0.3966210120560978,0.24387529144356832,0.09316821126876076,0.05200876381061733,0.032876006139353965,0.02704127661070169,0.020913638973181332,0.008752094292978407,0.01977715551077316,0.0,0.004873990931564949,0.007861653642019425,0.039706623238157726,0.03765626647608113,0.6405900340945039,0.20364143360944803,0.0608897376714977,0.0033508687654509027
Arizona,2016,29.578797917652626,0.04355237698380162,0.13680575467536887,0.0897147099564863,0.054733180698135146,0.053924809969499166,0.09672240809115239,0.13860814220906637,0.18886752523831934,0.13135462748919377,0.06585269072085713,28.9,27.8,56.7,25.4,84520,0.011535731187884524,0.08504495977283483,0.001893043066729768,0.06241126360624704,0.04822527212494084,0.9829744439185991,0.009169427354472313,0.7884406057737814,0.12787505915759584,0.07909370563180312,0.003667770941788926,0.7252366303833412,0.2747278750591576,0.5497752011358258,0.45022479886417416,0.024148130619971606,0.06723852342640795,0.3967463322290582,0.25092285849503077,0.09181258873639375,0.05208234737340275,0.034488878371982966,0.02736630383341221,0.02230241362991008,0.00979649787032655,0.0229649787032655,0.0,0.0053478466635115945,0.007536677709417889,0.03941079034548036,0.03790818741126361,0.6423568386180786,0.20253194510175107,0.060731187884524376,0.0027330809275911026
Arizona,2017,29.3140512018761,0.03821662609612541,0.15052827248702647,0.08848480988875655,0.05666505398369131,0.05978839951828621,0.08954778658469548,0.13667345641050987,0.18858077878330198,0.13221735037771318,0.060175886999398964,29.2,28.8,58.0,26.5,81872,0.012995896032831737,0.08689173343756107,0.0017832714481141295,0.06745896032831737,0.04775747508305648,0.9829123509869064,0.008623216728551885,0.77937512214188,0.13460035176861443,0.08176177447723275,0.003090189564197772,0.7314344342388118,0.26854113738518665,0.551592730115302,0.44708813758061366,0.02888655462184874,0.05928766855579441,0.3955198358413133,0.2543360367402775,0.0933530388899746,0.052179011139339454,0.034822649990228646,0.027139925737736954,0.02215653703341802,0.009392710572601133,0.02271838968145398,0.0,0.005337600156341607,0.007670510064490913,0.04081981629861247,0.03842583545045925,0.6436022083251906,0.1995187609927692,0.06021594684385382,0.002601622044166504
Arizona,2018,29.73130334601043,0.03233405385472769,0.15235475842149915,0.08689602286396908,0.0629231673416343,0.06448712805360704,0.08789079329312867,0.1304945161002405,0.19245564994704956,0.13529001372171692,0.05406365727765213,30.3,28.0,58.3,25.8,80723,0.014035652787929091,0.09644091522862133,0.0016104455979088982,0.07710318001065372,0.04586053541122109,0.9821736060354546,0.008262824721578733,0.7808926823829639,0.13084251080856757,0.08454839389021716,0.0027253694733842893,0.7249606679632818,0.2750021679075356,0.5503635890638355,0.44819939794110725,0.028096081661979858,0.05486664271645008,0.3926885769854936,0.2642988987029719,0.09278644252567422,0.05172007977899731,0.0338317455991477,0.029483542484793675,0.024156683968633474,0.010368792041921138,0.017504304844963643,0.0,0.005525067205133605,0.008213272549335382,0.04204501814848308,0.03904711172776037,0.6557486713823817,0.1909864598689345,0.05466843402747668,0.002353728181559159
Arizona,2019,40.31496062992126,0.030862003083826275,0.1637529291737617,0.07472343624800834,0.06839111336652849,0.07352764836094045,0.08090409306338689,0.1313736605792071,0.18614023168465918,0.13775996629777387,0.05315782207529079,28.8,32.1,60.900000000000006,25.9,79375,0.015206299212598424,0.0978771653543307,0.0014614173228346457,0.08008818897637796,0.04442204724409449,0.9829291338582677,0.008894488188976379,0.7592944881889764,0.13928818897637796,0.09664251968503937,0.004258267716535433,0.7222677165354331,0.27765669291338585,0.5472125984251969,0.45143937007874013,0.02625511811023622,0.04913385826771653,0.38721259842519684,0.2611275590551181,0.09312755905511812,0.05224566929133858,0.03620787401574803,0.031218897637795277,0.026733858267716536,0.011729133858267717,0.024844094488188976,0.0,0.004963779527559055,0.008163779527559055,0.04131023622047244,0.038941732283464564,0.6659779527559055,0.18731338582677165,0.050368503937007876,0.002015748031496063
Arkansas,2011,25.82978173834431,0.07270670674231242,0.09277855834385615,0.13617728137727425,0.027276575310793746,0.020605758799153433,0.12028384939619756,0.1535394027780248,0.1803350703398723,0.10737154747719067,0.08945061980898857,28.6,31.2,59.8,34.1,38715,0.01792586852641095,0.0408627147100607,0.001653106031254036,0.045382926514270956,0.0,0.9911145550820095,0.008239700374531835,0.9419088208704637,0.03781480046493607,0.009014593826682165,0.00581170089112747,0.6525377760557923,0.3406173317835464,0.5513366912049593,0.4486633087950407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.007697274958026605,0.010874338111842956,0.04644194756554307,0.04205088467002454,0.6635929226398037,0.17881957897455766,0.042567480304791426,0.0038744672607516468
