,"""Notes""	""Census Division""	""Census Division Code""	""Year""	""Year Code""",Births
82,"""Division 6: East South Central""	""CENS-D6""	""2017""	""2017""	232066",
83,"""Division 6: East South Central""	""CENS-D6""	""2018""	""2018""	229434",
84,"""Division 6: East South Central""	""CENS-D6""	""2019""	""2019""	228770",
85,"""Division 6: East South Central""	""CENS-D6""	""2020""	""2020""	223477",
86,"""Division 6: East South Central""	""CENS-D6""	""2021""	""2021""	227141",
87,"""Division 6: East South Central""	""CENS-D6""	""2022""	""2022""	227404",
88,"""Division 6: East South Central""	""CENS-D6""	""2023""	""2023""	227322",
89,"""Total""	""Division 6: East South Central""	""CENS-D6""			3235848",
90,"""Division 7: West South Central""	""CENS-D7""	""2010""	""2010""	540275",
91,"""Division 7: West South Central""	""CENS-D7""	""2011""	""2011""	530320",
92,"""Division 7: West South Central""	""CENS-D7""	""2012""	""2012""	536467",
93,"""Division 7: West South Central""	""CENS-D7""	""2013""	""2013""	541742",
94,"""Division 7: West South Central""	""CENS-D7""	""2014""	""2014""	556113",
95,"""Division 7: West South Central""	""CENS-D7""	""2015""	""2015""	560318",
96,"""Division 7: West South Central""	""CENS-D7""	""2016""	""2016""	552091",
97,"""Division 7: West South Central""	""CENS-D7""	""2017""	""2017""	530802",
98,"""Division 7: West South Central""	""CENS-D7""	""2018""	""2018""	525057",
99,"""Division 7: West South Central""	""CENS-D7""	""2019""	""2019""	522247",
100,"""Division 7: West South Central""	""CENS-D7""	""2020""	""2020""	508392",
101,"""Division 7: West South Central""	""CENS-D7""	""2021""	""2021""	515406",
102,"""Division 7: West South Central""	""CENS-D7""	""2022""	""2022""	530023",
103,"""Division 7: West South Central""	""CENS-D7""	""2023""	""2023""	526045",
104,"""Total""	""Division 7: West South Central""	""CENS-D7""			7475298",
105,"""Division 8: Mountain""	""CENS-D8""	""2010""	""2010""	312688",
106,"""Division 8: Mountain""	""CENS-D8""	""2011""	""2011""	306179",
107,"""Division 8: Mountain""	""CENS-D8""	""2012""	""2012""	307725",
108,"""Division 8: Mountain""	""CENS-D8""	""2013""	""2013""	305352",
109,"""Division 8: Mountain""	""CENS-D8""	""2014""	""2014""	308788",
110,"""Division 8: Mountain""	""CENS-D8""	""2015""	""2015""	307999",
111,"""Division 8: Mountain""	""CENS-D8""	""2016""	""2016""	304699",
112,"""Division 8: Mountain""	""CENS-D8""	""2017""	""2017""	295245",
113,"""Division 8: Mountain""	""CENS-D8""	""2018""	""2018""	289016",
114,"""Division 8: Mountain""	""CENS-D8""	""2019""	""2019""	286809",
115,"""Division 8: Mountain""	""CENS-D8""	""2020""	""2020""	278151",
116,"""Division 8: Mountain""	""CENS-D8""	""2021""	""2021""	282549",
117,"""Division 8: Mountain""	""CENS-D8""	""2022""	""2022""	281120",
118,"""Division 8: Mountain""	""CENS-D8""	""2023""	""2023""	276819",
119,"""Total""	""Division 8: Mountain""	""CENS-D8""			4143139",
120,"""Division 9: Pacific""	""CENS-D9""	""2010""	""2010""	672736",
121,"""Division 9: Pacific""	""CENS-D9""	""2011""	""2011""	664663",
122,"""Division 9: Pacific""	""CENS-D9""	""2012""	""2012""	666452",
123,"""Division 9: Pacific""	""CENS-D9""	""2013""	""2013""	656870",
124,"""Division 9: Pacific""	""CENS-D9""	""2014""	""2014""	666962",
125,"""Division 9: Pacific""	""CENS-D9""	""2015""	""2015""	656095",
126,"""Division 9: Pacific""	""CENS-D9""	""2016""	""2016""	654135",
127,"""Division 9: Pacific""	""CENS-D9""	""2017""	""2017""	630813",
128,"""Division 9: Pacific""	""CENS-D9""	""2018""	""2018""	610251",
129,"""Division 9: Pacific""	""CENS-D9""	""2019""	""2019""	599851",
130,"""Division 9: Pacific""	""CENS-D9""	""2020""	""2020""	568419",
131,"""Division 9: Pacific""	""CENS-D9""	""2021""	""2021""	570420",
132,"""Division 9: Pacific""	""CENS-D9""	""2022""	""2022""	566824",
133,"""Division 9: Pacific""	""CENS-D9""	""2023""	""2023""	543161",
134,"""Total""	""Division 9: Pacific""	""CENS-D9""			8727652",
135,"""Total""					53686912",
136,"""---""",
137,"""Dataset: Natality, 2007-2023""",
138,"""Query Parameters:""",
139,"""Year: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018; 2019;",020; 2
140,"""Group By: Census Division; Year""",
141,"""Show Totals: True""",
142,"""Show Zero Values: True""",
143,"""Show Suppressed: False""",
144,"""Calculate Rates Per: 1,000""",
145,"""Population Option: No populations shown because rates were not sel","cted."""
146,"""---""",
147,"""Help: See http://wonder.cdc.gov/wonder/help/natality.html for more",inform
148,"""---""",
149,"""Query Date: Mar 20, 2025 5:08:03 PM""",
150,"""---""",
151,"""Suggested Citation: Centers for Disease Control and Prevention, Na",ional
152,"""System, Natality on CDC WONDER Online Database. Data are from the",atalit
153,"""the 57 vital statistics jurisdictions through the Vital Statistics",Cooper
154,"""http://wonder.cdc.gov/natality-current.html on Mar 20, 2025 5:08:0","PM"""
155,"""---""",
156,Caveats:,
157,"""1. Each birth record represents one liveborn infant.""",
