Division,Year,    Male:        6 to 17 years:            No health insurance coverage,    Male:        18 to 24 years:            No health insurance coverage,    Male:        25 to 34 years:            No health insurance coverage,    Male:        35 to 44 years:            No health insurance coverage,    Male:        45 to 54 years:            No health insurance coverage,    Male:        55 to 64 years:            No health insurance coverage,    Male:        65 to 74 years:            No health insurance coverage,    Male:        75 years and over:            No health insurance coverage,    Female:        Under 6 years:            No health insurance coverage,    Female:        6 to 17 years:            No health insurance coverage,    Female:        18 to 24 years:            No health insurance coverage,    Female:        25 to 34 years:            No health insurance coverage,    Female:        35 to 44 years:            No health insurance coverage,    Female:        45 to 54 years:            No health insurance coverage,    Female:        55 to 64 years:            No health insurance coverage,    Female:        65 to 74 years:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Female:        75 years and over:            No health insurance coverage,    Male:        Under 6 years:            With health insurance coverage,    Male:        6 to 17 years:            With health insurance coverage,    Male:        18 to 24 years:            With health insurance coverage,    Male:        25 to 34 years:            With health insurance coverage,    Male:        35 to 44 years:            With health insurance coverage,    Male:        45 to 54 years:            With health insurance coverage,    Male:        55 to 64 years:            With health insurance coverage,    Male:        65 to 74 years:            With health insurance coverage,    Male:        75 years and over:            With health insurance coverage,    Female:        Under 6 years:            With health insurance coverage,    Female:        6 to 17 years:            With health insurance coverage,    Female:        18 to 24 years:            With health insurance coverage,    Female:        25 to 34 years:            With health insurance coverage,    Female:        35 to 44 years:            With health insurance coverage,    Female:        45 to 54 years:            With health insurance coverage,    Female:        55 to 64 years:            With health insurance coverage,    Female:        65 to 74 years:            With health insurance coverage,    Female:        75 years and over:            With health insurance coverage
West North Central Division!!Estimate,2011,"43,047","116,453","216,750","317,968","210,718","198,372","115,282","3,344","1,472","37,787","104,103","177,679","236,530","187,904","171,283","121,707","4,533","2,485","794,224","1,568,489","794,643","1,010,499","1,018,915","1,254,513","1,135,933","689,275","506,689","773,422","1,501,285","824,220","1,095,054","1,055,682","1,315,963","1,176,632","810,561","755,189"
South Atlantic Division!!Estimate,2011,"143,078","456,817","912,162","1,317,276","1,022,055","909,613","533,830","24,967","8,488","141,774","436,249","737,196","1,032,530","899,987","850,478","606,120","36,602","15,722","2,164,212","4,248,846","1,954,917","2,330,214","2,760,535","3,243,816","2,982,937","2,172,447","1,472,645","2,069,517","4,066,004","2,164,717","2,873,660","3,174,100","3,601,065","3,334,270","2,682,161","2,197,811"
East South Central Division!!Estimate,2011,"34,381","101,970","264,699","373,612","274,456","254,078","136,937","4,010","1,020","33,610","97,454","211,174","307,630","237,874","235,220","158,475","3,361","1,524","687,349","1,410,151","622,207","732,260","857,624","1,011,841","973,412","652,741","401,849","661,130","1,356,379","691,252","892,873","978,400","1,116,210","1,054,887","806,596","636,198"
West South Central Division!!Estimate,2011,"140,750","430,517","715,557","991,888","750,602","609,405","341,581","19,008","6,059","136,013","413,211","618,075","869,520","709,129","582,495","394,884","20,461","10,561","1,539,436","2,856,197","1,134,826","1,464,517","1,587,288","1,786,318","1,611,135","1,083,647","689,682","1,468,384","2,722,535","1,212,394","1,689,992","1,736,913","1,939,702","1,724,226","1,310,954","1,031,828"
Mountain Division!!Estimate,2011,"97,946","248,058","347,032","493,283","368,223","312,255","190,148","8,995","4,265","86,993","219,431","272,852","365,984","296,875","272,915","198,445","11,299","5,172","896,480","1,676,914","758,379","1,024,764","1,047,042","1,132,695","1,084,412","752,820","498,719","847,100","1,616,454","806,833","1,144,095","1,108,529","1,210,682","1,155,210","876,348","670,589"
Pacific Division!!Estimate,2011,"120,578","361,881","828,377","1,223,721","881,921","736,209","442,279","26,490","9,339","111,215","344,307","656,800","880,928","708,071","661,616","471,309","36,728","13,901","1,945,618","3,802,638","1,741,040","2,288,213","2,454,591","2,707,495","2,382,784","1,512,012","1,077,652","1,853,690","3,643,562","1,833,933","2,604,982","2,682,924","2,866,599","2,558,243","1,828,718","1,584,148"
New England Division!!Estimate,2012,"10,521","32,235","98,095","157,275","104,104","104,061","66,323","3,294","1,348","12,618","31,179","64,803","90,429","73,336","83,715","64,985","4,278","2,137","472,895","1,052,771","620,118","720,812","783,833","985,204","860,851","533,930","367,391","445,872","1,012,002","656,270","818,141","868,155","1,066,561","936,142","641,101","563,037"
Middle Atlantic Division!!Estimate,2012,"61,780","147,074","378,957","728,161","486,985","399,856","250,131","16,324","5,902","56,312","144,271","279,399","478,705","361,326","352,520","259,808","22,749","10,107","1,417,781","2,972,606","1,625,371","1,910,097","2,054,546","2,519,273","2,231,683","1,434,757","1,026,002","1,361,824","2,846,312","1,707,313","2,245,428","2,316,065","2,752,970","2,452,524","1,770,486","1,617,274"
East North Central Division!!Estimate,2012,"70,909","202,409","518,716","808,945","556,288","521,856","313,269","12,169","4,085","76,232","178,104","376,024","545,111","435,508","472,406","353,084","14,722","7,060","1,693,709","3,596,711","1,747,584","2,074,662","2,298,980","2,741,748","2,553,025","1,639,732","1,103,427","1,617,297","3,444,766","1,871,642","2,408,987","2,503,885","2,922,585","2,704,078","1,948,637","1,670,036"
West North Central Division!!Estimate,2012,"46,485","104,470","206,545","308,846","208,222","192,403","111,326","3,811",714,"38,261","104,042","164,464","244,068","174,665","167,999","122,120","4,594","1,110","793,312","1,582,105","815,730","1,039,667","1,018,332","1,231,156","1,155,665","733,617","513,454","765,019","1,499,880","838,646","1,108,703","1,060,811","1,289,233","1,195,640","845,888","757,638"
