"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Tobacco Use"	"Tobacco Use Code"	Births
	"Division 1: New England"	"CENS-D1"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2022"	"2022"			143671
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Yes"	"1"	3512
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"No"	"2"	136380
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Unknown or Not Stated"	"9"	193
	"Division 1: New England"	"CENS-D1"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Division 1: New England"	"CENS-D1"	"2023"	"2023"			140085
"Total"	"Division 1: New England"	"CENS-D1"					2056658
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Yes"	"1"	37276
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"No"	"2"	343344
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Unknown or Not Stated"	"9"	7076
	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"	"Not Reported"	"10"	106922
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2010"	"2010"			494618
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Yes"	"1"	35722
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"No"	"2"	342028
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Unknown or Not Stated"	"9"	6740
	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"	"Not Reported"	"10"	105883
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2011"	"2011"			490373
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Yes"	"1"	34757
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"No"	"2"	342025
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Unknown or Not Stated"	"9"	6648
	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"	"Not Reported"	"10"	104230
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2012"	"2012"			487660
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Yes"	"1"	32760
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"No"	"2"	338572
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Unknown or Not Stated"	"9"	6569
	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"	"Not Reported"	"10"	102575
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2013"	"2013"			480476
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Yes"	"1"	31692
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"No"	"2"	342648
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Unknown or Not Stated"	"9"	6701
	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"	"Not Reported"	"10"	103305
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2014"	"2014"			484346
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Yes"	"1"	29034
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"No"	"2"	344002
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Unknown or Not Stated"	"9"	5285
	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"	"Not Reported"	"10"	103127
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2015"	"2015"			481448
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Yes"	"1"	30970
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"No"	"2"	442565
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Unknown or Not Stated"	"9"	2804
	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2016"	"2016"			476339
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Yes"	"1"	29064
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"No"	"2"	437063
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Unknown or Not Stated"	"9"	2605
	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2017"	"2017"			468732
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Yes"	"1"	26859
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No"	"2"	433612
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	2663
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"			463134
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Yes"	"1"	24007
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"No"	"2"	427697
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"9"	3650
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"			455354
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Yes"	"1"	21316
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"No"	"2"	413570
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"9"	3099
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"			437985
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Yes"	"1"	17737
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"No"	"2"	424556
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"9"	2568
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"			444861
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Yes"	"1"	14210
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"No"	"2"	425326
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"9"	1383
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"			440919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Yes"	"1"	11601
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"No"	"2"	419174
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"9"	789
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Not Reported"	"10"	0
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"			431564
"Total"	"Division 2: Middle Atlantic"	"CENS-D2"					6537809
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Yes"	"1"	52207
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"No"	"2"	331655
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	4406
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Not Reported"	"10"	183018
"Total"	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"			571286
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Yes"	"1"	59658
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"No"	"2"	387029
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	4054
