"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"Chronic Hypertension"	"Chronic Hypertension Code"	Births
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"No"	"2"	452919
	"Division 2: Middle Atlantic"	"CENS-D2"	"2018"	"2018"	"Unknown or Not Stated"	"9"	539
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Yes"	"1"	10064
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"No"	"2"	444768
	"Division 2: Middle Atlantic"	"CENS-D2"	"2019"	"2019"	"Unknown or Not Stated"	"9"	522
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Yes"	"1"	11352
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"No"	"2"	426182
	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Unknown or Not Stated"	"9"	451
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Yes"	"1"	12348
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"No"	"2"	431780
	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Unknown or Not Stated"	"9"	733
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Yes"	"1"	13010
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"No"	"2"	425904
	"Division 2: Middle Atlantic"	"CENS-D2"	"2022"	"2022"	"Unknown or Not Stated"	"9"	2005
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Yes"	"1"	13426
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"No"	"2"	417201
	"Division 2: Middle Atlantic"	"CENS-D2"	"2023"	"2023"	"Unknown or Not Stated"	"9"	937
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Yes"	"1"	8655
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"No"	"2"	557335
	"Division 3: East North Central"	"CENS-D3"	"2010"	"2010"	"Unknown or Not Stated"	"9"	5296
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Yes"	"1"	9202
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"No"	"2"	550527
	"Division 3: East North Central"	"CENS-D3"	"2011"	"2011"	"Unknown or Not Stated"	"9"	5020
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Yes"	"1"	9336
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"No"	"2"	548063
	"Division 3: East North Central"	"CENS-D3"	"2012"	"2012"	"Unknown or Not Stated"	"9"	3857
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Yes"	"1"	9815
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"No"	"2"	546829
	"Division 3: East North Central"	"CENS-D3"	"2013"	"2013"	"Unknown or Not Stated"	"9"	2463
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Yes"	"1"	10277
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"No"	"2"	551896
	"Division 3: East North Central"	"CENS-D3"	"2014"	"2014"	"Unknown or Not Stated"	"9"	1466
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Yes"	"1"	10752
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"No"	"2"	550357
	"Division 3: East North Central"	"CENS-D3"	"2015"	"2015"	"Unknown or Not Stated"	"9"	664
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Yes"	"1"	11633
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"No"	"2"	543180
	"Division 3: East North Central"	"CENS-D3"	"2016"	"2016"	"Unknown or Not Stated"	"9"	738
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Yes"	"1"	12382
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"No"	"2"	531536
	"Division 3: East North Central"	"CENS-D3"	"2017"	"2017"	"Unknown or Not Stated"	"9"	875
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Yes"	"1"	13158
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"No"	"2"	521836
	"Division 3: East North Central"	"CENS-D3"	"2018"	"2018"	"Unknown or Not Stated"	"9"	731
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Yes"	"1"	14262
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"No"	"2"	511758
	"Division 3: East North Central"	"CENS-D3"	"2019"	"2019"	"Unknown or Not Stated"	"9"	584
