"Notes","Census Division","Census Division Code","Year","Year Code","Medical Attendant","Medical Attendant Code",Births
,"Division 6: East South Central","CENS-D6","2010","2010","Unknown or not stated","9",16
,"Division 6: East South Central","CENS-D6","2011","2011","Unknown or not stated","9",19
,"Division 6: East South Central","CENS-D6","2012","2012","Unknown or not stated","9",12
,"Division 6: East South Central","CENS-D6","2013","2013","Unknown or not stated","9",18
,"Division 6: East South Central","CENS-D6","2014","2014","Unknown or not stated","9",14
,"Division 6: East South Central","CENS-D6","2016","2016","Unknown or not stated","9",117
,"Division 6: East South Central","CENS-D6","2017","2017","Unknown or not stated","9",313
,"Division 6: East South Central","CENS-D6","2018","2018","Unknown or not stated","9",288
,"Division 6: East South Central","CENS-D6","2019","2019","Unknown or not stated","9",123
,"Division 7: West South Central","CENS-D7","2010","2010","Unknown or not stated","9",770
,"Division 7: West South Central","CENS-D7","2011","2011","Unknown or not stated","9",785
,"Division 7: West South Central","CENS-D7","2012","2012","Unknown or not stated","9",245
,"Division 7: West South Central","CENS-D7","2013","2013","Unknown or not stated","9",264
,"Division 7: West South Central","CENS-D7","2014","2014","Unknown or not stated","9",330
,"Division 7: West South Central","CENS-D7","2015","2015","Unknown or not stated","9",403
,"Division 7: West South Central","CENS-D7","2016","2016","Unknown or not stated","9",469
,"Division 7: West South Central","CENS-D7","2017","2017","Unknown or not stated","9",596
,"Division 7: West South Central","CENS-D7","2018","2018","Unknown or not stated","9",295
,"Division 7: West South Central","CENS-D7","2019","2019","Unknown or not stated","9",93
,"Division 7: West South Central","CENS-D7","2020","2020","Unknown or not stated","9",178
,"Division 7: West South Central","CENS-D7","2021","2021","Unknown or not stated","9",174
,"Division 7: West South Central","CENS-D7","2022","2022","Unknown or not stated","9",353
,"Division 7: West South Central","CENS-D7","2023","2023","Unknown or not stated","9",469
,"Division 8: Mountain","CENS-D8","2010","2010","Unknown or not stated","9",18
,"Division 8: Mountain","CENS-D8","2011","2011","Unknown or not stated","9",25
,"Division 8: Mountain","CENS-D8","2012","2012","Unknown or not stated","9",61
,"Division 8: Mountain","CENS-D8","2013","2013","Unknown or not stated","9",47
,"Division 8: Mountain","CENS-D8","2014","2014","Unknown or not stated","9",30
,"Division 8: Mountain","CENS-D8","2015","2015","Unknown or not stated","9",80
,"Division 8: Mountain","CENS-D8","2016","2016","Unknown or not stated","9",77
,"Division 8: Mountain","CENS-D8","2017","2017","Unknown or not stated","9",29
,"Division 8: Mountain","CENS-D8","2018","2018","Unknown or not stated","9",128
,"Division 8: Mountain","CENS-D8","2019","2019","Unknown or not stated","9",111
,"Division 8: Mountain","CENS-D8","2020","2020","Unknown or not stated","9",121
,"Division 8: Mountain","CENS-D8","2021","2021","Unknown or not stated","9",110
,"Division 8: Mountain","CENS-D8","2022","2022","Unknown or not stated","9",107
,"Division 8: Mountain","CENS-D8","2023","2023","Unknown or not stated","9",79
,"Division 9: Pacific","CENS-D9","2010","2010","Unknown or not stated","9",371
,"Division 9: Pacific","CENS-D9","2011","2011","Unknown or not stated","9",393
,"Division 9: Pacific","CENS-D9","2012","2012","Unknown or not stated","9",493
,"Division 9: Pacific","CENS-D9","2013","2013","Unknown or not stated","9",369
,"Division 9: Pacific","CENS-D9","2014","2014","Unknown or not stated","9",431
,"Division 9: Pacific","CENS-D9","2015","2015","Unknown or not stated","9",519
,"Division 9: Pacific","CENS-D9","2016","2016","Unknown or not stated","9",448
,"Division 9: Pacific","CENS-D9","2017","2017","Unknown or not stated","9",473
,"Division 9: Pacific","CENS-D9","2018","2018","Unknown or not stated","9",439
,"Division 9: Pacific","CENS-D9","2019","2019","Unknown or not stated","9",542
,"Division 9: Pacific","CENS-D9","2020","2020","Unknown or not stated","9",541
,"Division 9: Pacific","CENS-D9","2021","2021","Unknown or not stated","9",770
,"Division 9: Pacific","CENS-D9","2022","2022","Unknown or not stated","9",768
,"Division 9: Pacific","CENS-D9","2023","2023","Unknown or not stated","9",714
