"Notes","Census Division","Census Division Code","Year","Year Code","Pregnancy-associated Hypertension","Pregnancy-associated Hypertension Code",Births
,"Division 6: East South Central","CENS-D6","2018","2018","Yes","1",18018
,"Division 6: East South Central","CENS-D6","2019","2019","Yes","1",20652
,"Division 6: East South Central","CENS-D6","2020","2020","Yes","1",20964
,"Division 6: East South Central","CENS-D6","2021","2021","Yes","1",23646
,"Division 6: East South Central","CENS-D6","2022","2022","Yes","1",24001
,"Division 6: East South Central","CENS-D6","2023","2023","Yes","1",24343
,"Division 7: West South Central","CENS-D7","2010","2010","Yes","1",26060
,"Division 7: West South Central","CENS-D7","2011","2011","Yes","1",26407
,"Division 7: West South Central","CENS-D7","2012","2012","Yes","1",28689
,"Division 7: West South Central","CENS-D7","2013","2013","Yes","1",29149
,"Division 7: West South Central","CENS-D7","2014","2014","Yes","1",32078
,"Division 7: West South Central","CENS-D7","2015","2015","Yes","1",34354
,"Division 7: West South Central","CENS-D7","2016","2016","Yes","1",35217
,"Division 7: West South Central","CENS-D7","2017","2017","Yes","1",36767
,"Division 7: West South Central","CENS-D7","2018","2018","Yes","1",39655
,"Division 7: West South Central","CENS-D7","2019","2019","Yes","1",41147
,"Division 7: West South Central","CENS-D7","2020","2020","Yes","1",41996
,"Division 7: West South Central","CENS-D7","2021","2021","Yes","1",44984
,"Division 7: West South Central","CENS-D7","2022","2022","Yes","1",47950
,"Division 7: West South Central","CENS-D7","2023","2023","Yes","1",49625
,"Division 8: Mountain","CENS-D8","2010","2010","Yes","1",13178
,"Division 8: Mountain","CENS-D8","2011","2011","Yes","1",13022
,"Division 8: Mountain","CENS-D8","2012","2012","Yes","1",13798
,"Division 8: Mountain","CENS-D8","2013","2013","Yes","1",15446
,"Division 8: Mountain","CENS-D8","2014","2014","Yes","1",15699
,"Division 8: Mountain","CENS-D8","2015","2015","Yes","1",17358
,"Division 8: Mountain","CENS-D8","2016","2016","Yes","1",18185
,"Division 8: Mountain","CENS-D8","2017","2017","Yes","1",19189
,"Division 8: Mountain","CENS-D8","2018","2018","Yes","1",21383
,"Division 8: Mountain","CENS-D8","2019","2019","Yes","1",22422
,"Division 8: Mountain","CENS-D8","2020","2020","Yes","1",23765
,"Division 8: Mountain","CENS-D8","2021","2021","Yes","1",25746
,"Division 8: Mountain","CENS-D8","2022","2022","Yes","1",26822
,"Division 8: Mountain","CENS-D8","2023","2023","Yes","1",27600
,"Division 9: Pacific","CENS-D9","2010","2010","Yes","1",20546
,"Division 9: Pacific","CENS-D9","2011","2011","Yes","1",21838
,"Division 9: Pacific","CENS-D9","2012","2012","Yes","1",23621
,"Division 9: Pacific","CENS-D9","2013","2013","Yes","1",25600
,"Division 9: Pacific","CENS-D9","2014","2014","Yes","1",27936
,"Division 9: Pacific","CENS-D9","2015","2015","Yes","1",29263
,"Division 9: Pacific","CENS-D9","2016","2016","Yes","1",30034
,"Division 9: Pacific","CENS-D9","2017","2017","Yes","1",32506
,"Division 9: Pacific","CENS-D9","2018","2018","Yes","1",35095
,"Division 9: Pacific","CENS-D9","2019","2019","Yes","1",38656
,"Division 9: Pacific","CENS-D9","2020","2020","Yes","1",41732
,"Division 9: Pacific","CENS-D9","2021","2021","Yes","1",45914
,"Division 9: Pacific","CENS-D9","2022","2022","Yes","1",48319
,"Division 9: Pacific","CENS-D9","2023","2023","Yes","1",50022
