Division,Year,Births,ChronicHypertensionBirths,DiabetesBirths,EnclampsiaBirths,Pregnancy-AssociatedHypertensionBirths,TobaccoUseBirths,HospitalBirths,BirthCenterBirths,ResidenceBirths,MD_Delivery,DO_Delivery,CNM_Delivery,OtherMidwife_Delivery,Other_Delivery,Unknown_Delivery_Attendant,Vaginal_Delivery,Cesarean_Delivery,Married,Unmarried,NoPrenatalCare,1stMonthInitialCare,2ndMonthInitialCare,3rdMonthInitialCare,4thMonthInitialCare,5thMonthInitialCare,6thMonthInitialCare,7thMonthInitialCare,8thMonthInitialCare,9thMonthInitialCare,UnknownInitialCare,NotReportedInitialCare,Under20Weeks,20-27Weeks,28-31Weeks,32-35Weeks,36Weeks,37-39Weeks,40Weeks,41Weeks,42PlusWeeks
East South Central,2019,228770,7757.0,16775.0,450.0,20652.0,25182,226096.0,413.0,2048,201082,12298,12850,1095,1322.0,770.0,150911.0,77787.0,122443.0,106298.0,4408.0,11223,87263.0,69360,22271.0,11659,7006.0,5318,3675,1349.0,5219.0,0,76.0,1691.0,2600.0,12151.0,11119,162091,32474,5991.0,403.0
East South Central,2020,223477,8030.0,18185.0,638.0,20964.0,23244,220289.0,441.0,2453,193240,14075,14202,985,974.0,785.0,146771.0,76676.0,118450.0,105007.0,4739.0,9465,84828.0,70472,22230.0,11374,7122.0,5252,3558,1272.0,3154.0,0,76.0,1590.0,2502.0,11850.0,10755,159373,31292,5515.0,416.0
East South Central,2021,227141,9066.0,19815.0,525.0,23646.0,19983,223354.0,455.0,2965,193113,15753,15651,1245,1376.0,245.0,148584.0,78525.0,123630.0,103483.0,5295.0,8848,86669.0,73365,22231.0,10894,6452.0,5120,3577,1331.0,3334.0,0,65.0,1702.0,2562.0,12689.0,11313,161733,31014,5546.0,400.0
East South Central,2022,227404,9732.0,19424.0,571.0,24001.0,16045,223310.0,537.0,3202,191134,16502,17053,1338,1373.0,264.0,149560.0,77780.0,125127.0,102251.0,4377.0,8523,85630.0,72992,22263.0,11241,6794.0,5514,3872,1424.0,4752.0,0,66.0,1582.0,2399.0,12404.0,11336,161322,31750,5959.0,459.0
East South Central,2023,227322,10067.0,19993.0,625.0,24343.0,12936,222843.0,510.0,3653,188803,17220,18542,1487,1262.0,330.0,149832.0,77455.0,124368.0,102922.0,5724.0,7451,83534.0,75407,23369.0,11326,6998.0,5699,3874,1428.0,2493.0,0,65.0,1670.0,2460.0,12101.0,11593,161866,31170,5831.0,463.0
West South Central,2010,540275,6526.0,22546.0,1188.0,26060.0,27124,535680.0,1878.0,2571,487671,29620,16159,2471,3584.0,403.0,347635.0,192195.0,303661.0,236614.0,16625.0,25352,114384.0,128466,61721.0,33967,21843.0,14346,10247,4990.0,6713.0,100919,267.0,3871.0,5385.0,26162.0,24174,363849,92469,21031.0,2569.0
West South Central,2011,530320,7382.0,25203.0,832.0,26407.0,30719,525428.0,2084.0,2688,477645,29333,15713,2717,4127.0,469.0,340977.0,189049.0,299633.0,230687.0,16738.0,31067,139776.0,145217,65663.0,34123,20911.0,13991,10013,4989.0,8426.0,38715,217.0,3729.0,5321.0,25788.0,22811,358902,90767,20016.0,2271.0
West South Central,2012,536467,7242.0,26561.0,868.0,28689.0,29568,530936.0,2418.0,2957,482768,31067,15958,3110,3319.0,596.0,344634.0,191554.0,302426.0,234041.0,16654.0,30812,139049.0,148951,65769.0,34241,21134.0,14262,10400,5362.0,10765.0,38347,217.0,3934.0,5346.0,25474.0,22749,366488,90334,19340.0,2075.0
West South Central,2013,541742,7855.0,26931.0,729.0,29149.0,28842,535896.0,2735.0,2967,485454,33328,16257,3237,3202.0,295.0,349565.0,191946.0,305058.0,236684.0,16636.0,28721,138011.0,151536,66322.0,34628,21064.0,14170,10581,5499.0,15980.0,37832,229.0,3731.0,5304.0,25463.0,22981,367962,93484,20264.0,1872.0
West South Central,2014,556113,8429.0,30966.0,979.0,32078.0,33051,549161.0,298776.0,3499,494372,36578,17030,3871,3932.0,93.0,361976.0,194101.0,315916.0,240197.0,17284.0,39974,175014.0,150187,64583.0,35091,21554.0,16265,11493,4648.0,19956.0,0,200.0,3936.0,5334.0,26022.0,23115,376139,97754,21387.0,1951.0
West South Central,2015,560318,8971.0,31037.0,989.0,34354.0,30992,553339.0,301969.0,3414,497043,38359,17080,3959,3474.0,178.0,367346.0,192864.0,318889.0,241429.0,16166.0,39003,178551.0,156290,64677.0,34279,20670.0,15854,12165,4841.0,17762.0,0,171.0,3813.0,5409.0,26156.0,23126,379674,98312,21498.0,1887.0
West South Central,2016,552091,8895.0,31745.0,849.0,35217.0,28651,544979.0,301165.0,3424,488621,38318,17469,4274,2940.0,174.0,361837.0,189833.0,315396.0,236695.0,17126.0,36318,176794.0,155423,62235.0,33477,21225.0,17675,12613,5014.0,,0,183.0,3782.0,5501.0,26142.0,23516,376799,93941,20175.0,1592.0
West South Central,2017,530802,9631.0,32552.0,983.0,36767.0,25977,523828.0,297621.0,3386,468755,37181,16884,4461,2925.0,353.0,345367.0,185153.0,303822.0,226867.0,16836.0,36020,176370.0,151381,57980.0,30780,18640.0,16048,11339,4859.0,2189.0,0,221.0,3729.0,5268.0,25501.0,23269,364894,87635,18568.0,1409.0
West South Central,2018,525057,10274.0,33125.0,811.0,39655.0,24174,518159.0,288251.0,3434,461661,38207,17403,4363,3128.0,469.0,341118.0,183886.0,300715.0,224225.0,14983.0,34446,179191.0,151356,56975.0,29387,18250.0,14639,11382,4979.0,2377.0,0,209.0,3602.0,5131.0,26027.0,23542,365937,81930,17201.0,1303.0
West South Central,2019,522247,10194.0,34000.0,812.0,41147.0,21322,515416.0,282055.0,3602,455811,38512,15267,6859,5705.0,18.0,340740.0,181181.0,295473.0,226649.0,16117.0,35252,179075.0,148757,55498.0,29575,18290.0,14226,10703,5334.0,2400.0,0,210.0,3643.0,5058.0,26115.0,24342,371052,75735,15050.0,936.0
West South Central,2020,508392,11473.0,38353.0,940.0,41996.0,19176,500336.0,279320.0,4148,440392,38360,15245,7910,6307.0,25.0,332160.0,175891.0,286052.0,222268.0,17433.0,32197,173324.0,147377,53724.0,28004,16855.0,13372,9670,5525.0,2041.0,0,239.0,3415.0,4914.0,24997.0,22990,364865,72111,13671.0,1011.0
West South Central,2021,515406,12188.0,40111.0,996.0,44984.0,15941,506058.0,269644.0,4995,442348,39808,16351,8216,8509.0,61.0,335726.0,179406.0,291521.0,223759.0,,33457,177989.0,150716,51620.0,25649,15890.0,13189,9917,5169.0,2066.0,0,194.0,3552.0,5382.0,26894.0,24358,368383,71467,13986.0,979.0
West South Central,2022,530023,13324.0,41036.0,1165.0,47950.0,12876,519992.0,272938.0,5329,455351,40896,16850,8456,8117.0,47.0,347136.0,182646.0,299173.0,230686.0,,31462,174094.0,153753,55848.0,28396,17568.0,15320,11067,5333.0,2247.0,0,215.0,3494.0,5355.0,27264.0,24691,375568,76343,15728.0,
West South Central,2023,526045,14326.0,41916.0,1057.0,49625.0,10472,515795.0,271391.0,5506,447509,43135,16980,8855,9097.0,30.0,344405.0,181482.0,294493.0,231420.0,,28798,168528.0,157609,59069.0,29423,18047.0,15363,11872,5166.0,3188.0,0,246.0,3583.0,5048.0,26818.0,24348,375435,74206,15040.0,16648.0
Mountain,2010,312688,2859.0,13834.0,1638.0,13178.0,17379,306877.0,267111.0,3972,259386,18311,28635,4525,1813.0,80.0,228900.0,83249.0,203912.0,108776.0,,8863,66362.0,81524,26107.0,12113,7214.0,4839,3498,1762.0,3313.0,87477,98.0,1737.0,2531.0,,12602,195715,65952,18402.0,14030.0
Mountain,2011,306179,2878.0,14045.0,1539.0,13022.0,16411,300185.0,663709.0,3957,253312,18208,27825,5050,1759.0,77.0,224962.0,80751.0,200467.0,105712.0,,8082,66945.0,80701,25339.0,11637,7007.0,4583,3472,1766.0,3433.0,85543,,,,2509.0,11873,193182,64972,17992.0,13226.0
Mountain,2012,307725,3096.0,15317.0,1454.0,13798.0,16642,301232.0,655044.0,4428,253511,18656,29085,4661,1751.0,29.0,224919.0,82322.0,200698.0,107027.0,,7713,65573.0,83397,25021.0,11238,6789.0,4715,3482,1796.0,3514.0,86441,,125.0,1541.0,2468.0,11796,195209,64639,17883.0,12855.0
Mountain,2013,305352,3410.0,16564.0,1190.0,15446.0,16212,,656225.0,4519,251466,18839,29027,4310,1663.0,128.0,223138.0,81743.0,199043.0,106309.0,,7363,64545.0,84308,25550.0,11092,6511.0,4637,3578,1791.0,2716.0,85600,,116.0,1543.0,2453.0,11230,191462,65378,19065.0,13238.0
Mountain,2014,308788,3716.0,18328.0,955.0,15699.0,20278,,646049.0,4627,253474,19239,30422,3807,1816.0,111.0,226279.0,82495.0,202022.0,106766.0,,18519,,117028,30220.0,14719,8820.0,6742,5055,2151.0,2931.0,14133,,99.0,1633.0,2390.0,11217,193784,65733,19959.0,12932.0
Mountain,2015,307999,3519.0,20372.0,758.0,17358.0,19190,,655449.0,4559,249111,20917,32113,3789,1989.0,121.0,225412.0,82576.0,200523.0,107476.0,,18309,14430.0,119313,,29042,8359.0,6628,4978,1955.0,2811.0,10494,,80.0,1459.0,2514.0,11452,194178,64434,20081.0,50912.0
Mountain,2016,304699,3528.0,20618.0,823.0,18185.0,17740,,644289.0,4528,240850,23924,33776,3722,2350.0,110.0,223390.0,81282.0,199234.0,,,19136,13989.0,118288,93722.0,28633,,8655,6914,2286.0,2755.0,9382,,88.0,1583.0,2391.0,11740,192914,375435,19378.0,51407.0
Mountain,2017,295245,3751.0,20921.0,840.0,19189.0,17044,,642341.0,4496,229708,25924,34311,3272,2001.0,107.0,216591.0,211623.0,192484.0,186228.0,,18422,13459.0,116262,93749.0,26427,13800.0,8098,6419,,2557.0,9331,,70.0,1594.0,2380.0,11233,187762,195715,,50195.0
Mountain,2018,289016,4204.0,22119.0,1041.0,21383.0,15717,,619363.0,4358,223174,26680,34424,2655,1955.0,79.0,,209401.0,,180253.0,,4650,13185.0,115160,90628.0,25486,12876.0,7764,6619,5038.0,2563.0,10816,,82.0,1491.0,2322.0,11070,187150,193182,60325.0,51661.0
Mountain,2019,286809,4490.0,21649.0,1168.0,22422.0,14311,,599464.0,4491,218525,28211,35049,2869,2044.0,371.0,,202539.0,,183737.0,,4249,12078.0,115047,88598.0,24297,12545.0,7722,6461,5042.0,2211.0,13413,,85.0,1404.0,2204.0,11340,190772,195209,56800.0,53651.0
Mountain,2020,278151,4718.0,23554.0,1785.0,23765.0,12519,,589278.0,5246,208475,28141,35585,3939,1890.0,393.0,,204908.0,,182881.0,,4151,13660.0,110609,86674.0,23906,12102.0,7242,6041,5200.0,2193.0,17964,,76.0,1445.0,2349.0,10759,187527,191462,53465.0,53167.0
Mountain,2021,282549,5368.0,25436.0,1394.0,25746.0,10795,,556118.0,5983,209308,30775,35195,5169,1992.0,493.0,,203311.0,,178689.0,,4247,12888.0,115806,87541.0,22869,11685.0,6805,5971,4822.0,2638.0,13623,,90.0,1459.0,2380.0,11452,190833,193784,50205.0,52353.0
Mountain,2022,281120,5580.0,25729.0,1552.0,26822.0,8807,,557040.0,6340,206814,30788,34681,5621,3109.0,369.0,,199642.0,,409865.0,,6193,11613.0,109388,89971.0,24183,10652.0,7161,6189,4409.0,2523.0,8054,,75.0,1406.0,2250.0,11212,189653,194178,49747.0,50647.0
Mountain,2023,276819,6067.0,26017.0,1328.0,27600.0,7473,,553406.0,6331,199567,33000,35291,5769,3113.0,431.0,,457123.0,,405974.0,,7131,56412.0,102751,91195.0,25004,11428.0,7539,6349,4845.0,,6632,,71.0,1517.0,4995.0,10823,187390,192914,49638.0,47618.0
Pacific,2010,672736,5066.0,32046.0,1206.0,20546.0,25009,,530624.0,5932,575111,22889,61496,6346,6523.0,519.0,,451726.0,,408734.0,,6053,53008.0,247393,94129.0,57596,11521.0,15495,9700,4904.0,,7176,,146.0,3427.0,5100.0,23177,395147,187762,48493.0,42935.0
Pacific,2011,664663,5506.0,35721.0,1136.0,21838.0,23593,,,6229,566498,24509,60158,7071,,448.0,,453364.0,,404955.0,,6827,50927.0,247625,195830.0,55956,26673.0,15003,9658,6796.0,,5936,,110.0,3263.0,5048.0,22331,392409,187150,163310.0,38958.0
Pacific,2012,666452,5918.0,40674.0,1362.0,,22633,,,6706,565350,25452,61386,7634,,473.0,,447706.0,,416146.0,,6934,50346.0,253018,195261.0,54367,25850.0,14893,9528,6766.0,,6415,,135.0,3322.0,4884.0,22412,396886,190772,159222.0,37878.0
Pacific,2013,656870,6369.0,,1868.0,,23129,,,6924,550266,29174,63966,6844,,439.0,,458195.0,,409168.0,,7110,75684.0,259861,195766.0,52715,25410.0,14798,10048,6898.0,,6277,,148.0,3503.0,5017.0,21532,390732,187527,158266.0,38505.0
Pacific,2014,666962,,,1074.0,,22368,,,7313,553899,32245,66864,7385,,542.0,,453254.0,,411520.0,,6023,69919.0,306093,193640.0,46734,25224.0,14779,11276,7285.0,,6506,,125.0,3454.0,5024.0,21671,397858,190833,154392.0,35078.0
Pacific,2015,656095,,,,,21331,,,7240,537045,33764,69125,7649,,541.0,,453740.0,,105766.0,,5944,67332.0,303696,157980.0,45700,24181.0,14037,10920,8052.0,,6540,,161.0,3293.0,4928.0,21710,390479,189653,155701.0,
Pacific,2016,654135,,,,,20175,,,6986,528846,36938,69188,7401,,770.0,,439252.0,,103106.0,,6193,63278.0,305499,159876.0,44179,22848.0,13258,10763,8238.0,,5175,,101.0,3158.0,4745.0,22425,391851,187390,153148.0,
Pacific,2017,630813,,,,,18293,,,6837,504401,38037,70133,6858,,768.0,,427044.0,,101572.0,,6172,58507.0,299275,161075.0,41714,21721.0,12616,10010,8728.0,,6600,,125.0,3021.0,4609.0,22344,379612,395147,150359.0,
Pacific,2018,610251,,,,,16128,,,6386,481968,39170,71679,7101,,714.0,,420425.0,,97423.0,,3768,53867.0,291358,154750.0,39532,20434.0,11782,9611,8038.0,,5763,,127.0,3010.0,4921.0,21391,370359,392409,142640.0,
Pacific,2019,599851,,,,,13803,,,6205,466038,45499,73498,7141,,,,398596.0,,98716.0,,3819,47411.0,283462,152134.0,38941,19229.0,11221,9277,7508.0,,4395,,129.0,2900.0,4692.0,21981,370599,396886,136412.0,
Pacific,2020,568419,,,,,11956,,,7284,433474,47396,74586,8375,,,,397948.0,,96746.0,,3639,43005.0,270586,154745.0,36948,18572.0,10863,8178,7548.0,,5564,,120.0,2725.0,5120.0,20517,357059,390732,130580.0,
Pacific,2021,570420,,,,,9951,,,8003,431194,48750,76025,9277,,,,393871.0,,93445.0,,4064,38453.0,271269,147144.0,36607,18025.0,10164,8060,6002.0,,4559,,103.0,2802.0,4944.0,21167,361540,397858,120552.0,
Pacific,2022,566824,,,,,7946,,,7894,427186,48935,75967,9594,,,,375277.0,,,,4493,35080.0,254645,153457.0,40093,16580.0,10865,8695,5819.0,,19033,,115.0,2690.0,5096.0,20856,358525,390479,116841.0,
Pacific,2023,543161,,,,,6261,,,7461,403534,49284,75631,9538,,,,,,,,4572,,235373,163347.0,41137,18481.0,10849,8578,6603.0,,17591,,92.0,2676.0,,20095,346892,391851,116348.0,
