"Notes","Census Division","Census Division Code","Year","Year Code","Delivery Method","Delivery Method Code",Births
,"Division 6: East South Central","CENS-D6","2015","2015","Cesarean","2",81938
,"Division 6: East South Central","CENS-D6","2016","2016","Cesarean","2",80262
,"Division 6: East South Central","CENS-D6","2017","2017","Cesarean","2",80289
,"Division 6: East South Central","CENS-D6","2018","2018","Cesarean","2",78898
,"Division 6: East South Central","CENS-D6","2019","2019","Cesarean","2",77787
,"Division 6: East South Central","CENS-D6","2020","2020","Cesarean","2",76676
,"Division 6: East South Central","CENS-D6","2021","2021","Cesarean","2",78525
,"Division 6: East South Central","CENS-D6","2022","2022","Cesarean","2",77780
,"Division 6: East South Central","CENS-D6","2023","2023","Cesarean","2",77455
,"Division 7: West South Central","CENS-D7","2010","2010","Cesarean","2",192195
,"Division 7: West South Central","CENS-D7","2011","2011","Cesarean","2",189049
,"Division 7: West South Central","CENS-D7","2012","2012","Cesarean","2",191554
,"Division 7: West South Central","CENS-D7","2013","2013","Cesarean","2",191946
,"Division 7: West South Central","CENS-D7","2014","2014","Cesarean","2",194101
,"Division 7: West South Central","CENS-D7","2015","2015","Cesarean","2",192864
,"Division 7: West South Central","CENS-D7","2016","2016","Cesarean","2",189833
,"Division 7: West South Central","CENS-D7","2017","2017","Cesarean","2",185153
,"Division 7: West South Central","CENS-D7","2018","2018","Cesarean","2",183886
,"Division 7: West South Central","CENS-D7","2019","2019","Cesarean","2",181181
,"Division 7: West South Central","CENS-D7","2020","2020","Cesarean","2",175891
,"Division 7: West South Central","CENS-D7","2021","2021","Cesarean","2",179406
,"Division 7: West South Central","CENS-D7","2022","2022","Cesarean","2",182646
,"Division 7: West South Central","CENS-D7","2023","2023","Cesarean","2",181482
,"Division 8: Mountain","CENS-D8","2010","2010","Cesarean","2",83249
,"Division 8: Mountain","CENS-D8","2011","2011","Cesarean","2",80751
,"Division 8: Mountain","CENS-D8","2012","2012","Cesarean","2",82322
,"Division 8: Mountain","CENS-D8","2013","2013","Cesarean","2",81743
,"Division 8: Mountain","CENS-D8","2014","2014","Cesarean","2",82495
,"Division 8: Mountain","CENS-D8","2015","2015","Cesarean","2",82576
,"Division 8: Mountain","CENS-D8","2016","2016","Cesarean","2",81282
,"Division 8: Mountain","CENS-D8","2017","2017","Cesarean","2",78606
,"Division 8: Mountain","CENS-D8","2018","2018","Cesarean","2",77371
,"Division 8: Mountain","CENS-D8","2019","2019","Cesarean","2",77387
,"Division 8: Mountain","CENS-D8","2020","2020","Cesarean","2",75582
,"Division 8: Mountain","CENS-D8","2021","2021","Cesarean","2",77615
,"Division 8: Mountain","CENS-D8","2022","2022","Cesarean","2",77763
,"Division 8: Mountain","CENS-D8","2023","2023","Cesarean","2",77127
,"Division 9: Pacific","CENS-D9","2010","2010","Cesarean","2",214929
,"Division 9: Pacific","CENS-D9","2011","2011","Cesarean","2",211988
,"Division 9: Pacific","CENS-D9","2012","2012","Cesarean","2",212745
,"Division 9: Pacific","CENS-D9","2013","2013","Cesarean","2",209001
,"Division 9: Pacific","CENS-D9","2014","2014","Cesarean","2",208699
,"Division 9: Pacific","CENS-D9","2015","2015","Cesarean","2",202812
,"Division 9: Pacific","CENS-D9","2016","2016","Cesarean","2",200264
,"Division 9: Pacific","CENS-D9","2017","2017","Cesarean","2",191400
,"Division 9: Pacific","CENS-D9","2018","2018","Cesarean","2",183089
,"Division 9: Pacific","CENS-D9","2019","2019","Cesarean","2",179248
,"Division 9: Pacific","CENS-D9","2020","2020","Cesarean","2",169629
,"Division 9: Pacific","CENS-D9","2021","2021","Cesarean","2",172202
,"Division 9: Pacific","CENS-D9","2022","2022","Cesarean","2",172444
,"Division 9: Pacific","CENS-D9","2023","2023","Cesarean","2",167600
