"Notes"	"Census Division"	"Census Division Code"	"Year"	"Year Code"	"OE Gestational Age 10"	"OE Gestational Age 10 Code"	Births
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"20 - 27 weeks"	"02"	785
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"28 - 31 weeks"	"03"	1173
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"32 - 35 weeks"	"04"	5812
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"36 weeks"	"05"	5223
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"37 - 39 weeks"	"06"	84458
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"40 weeks"	"07"	34773
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"41 weeks"	"08"	15459
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"42 weeks or more"	"09"	766
	"Division 1: New England"	"CENS-D1"	"2016"	"2016"	"Unknown or Not Stated"	"10"	351
"Total"	"Division 1: New England"	"CENS-D1"	"2016"	"2016"			148858
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Under 20 weeks"	"01"	35
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"20 - 27 weeks"	"02"	778
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"28 - 31 weeks"	"03"	1210
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"32 - 35 weeks"	"04"	5776
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"36 weeks"	"05"	5194
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"37 - 39 weeks"	"06"	84252
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"40 weeks"	"07"	33643
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"41 weeks"	"08"	14961
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"42 weeks or more"	"09"	660
	"Division 1: New England"	"CENS-D1"	"2017"	"2017"	"Unknown or Not Stated"	"10"	121
"Total"	"Division 1: New England"	"CENS-D1"	"2017"	"2017"			146630
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"Under 20 weeks"	"01"	35
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"20 - 27 weeks"	"02"	746
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"28 - 31 weeks"	"03"	1158
	"Division 1: New England"	"CENS-D1"	"2018"	"2018"	"32 - 35 weeks"	"04"	5881
